travelCode,user_id,Pickup_Location,rental_date,duration,return_date,Car_Id,total_amount,Duration_Hours,Total_Minutes,Days,Hours,Formatted_Duration,Duration_Days
90,1,Chandigarh,10-03-2019 09:12,3,13-03-2019 09:12,9165,33792,72,4320,3,0,3 days 0 hours,3
92,1,Puri,17-10-2019 13:32,3,20-10-2019 13:32,4710,42618,72,4320,3,0,3 days 0 hours,3
100,2,Kullu-Manali,31-10-2019 03:17,6,06-11-2019 03:17,7489,52836,144,8640,6,0,6 days 0 hours,6
101,2,Amritsar,11-07-2019 14:37,3,14-07-2019 14:37,6891,25644,72,4320,3,0,3 days 0 hours,3
105,2,Mysuru,12-05-2019 14:57,5,17-05-2019 14:57,10246,44730,120,7200,5,0,5 days 0 hours,5
108,2,Visakhapatnam,26-12-2019 21:37,5,31-12-2019 21:37,9819,35830,120,7200,5,0,5 days 0 hours,5
109,2,Khowai,01-02-2020 21:38,2,03-02-2020 21:38,1111,11704,48,2880,2,0,2 days 0 hours,2
110,2,Surat,01-09-2020 06:38,4,05-09-2020 06:38,8578,50880,96,5760,4,0,4 days 0 hours,4
112,2,Srinagar,23-01-2020 20:51,3,26-01-2020 20:51,5213,26388,72,4320,3,0,3 days 0 hours,3
116,2,Shimla,20-02-2020 14:14,4,24-02-2020 14:14,9372,37632,96,5760,4,0,4 days 0 hours,4
117,2,Amritsar,27-02-2020 23:28,7,05-03-2020 23:28,6966,81872,168,10080,7,0,7 days 0 hours,7
119,2,Guwahati,03-12-2020 07:05,2,05-12-2020 07:05,2256,10604,48,2880,2,0,2 days 0 hours,2
122,2,Mumbai,04-02-2020 19:41,5,09-02-2020 19:41,10727,36600,120,7200,5,0,5 days 0 hours,5
124,2,Puducherry,16-04-2020 09:30,4,20-04-2020 09:30,2834,31824,96,5760,4,0,4 days 0 hours,4
125,2,Varanasi,23-04-2020 18:55,7,30-04-2020 18:55,5952,47488,168,10080,7,0,7 days 0 hours,7
135,2,Kullu-Manali,07-02-2020 22:07,3,10-02-2020 22:07,7541,41100,72,4320,3,0,3 days 0 hours,3
137,2,Mysuru,16-07-2020 18:31,5,21-07-2020 18:31,10271,26010,120,7200,5,0,5 days 0 hours,5
150,2,Hyderabad,15-10-2020 11:13,3,18-10-2020 11:13,814,27762,72,4320,3,0,3 days 0 hours,3
153,2,Khowai,11-05-2020 04:22,5,16-05-2020 04:22,1195,47880,120,7200,5,0,5 days 0 hours,5
156,2,Mopa,26-11-2020 20:23,1,27-11-2020 20:23,3490,11610,24,1440,1,0,1 days 0 hours,1
160,2,Srinagar,24-12-2020 19:28,2,26-12-2020 19:28,5379,19432,48,2880,2,0,2 days 0 hours,2
165,2,Diu,28-01-2021 03:26,5,02-02-2021 03:26,8936,35260,120,7200,5,0,5 days 0 hours,5
177,2,Bengaluru,22-04-2021 03:53,6,28-04-2021 03:53,2156,55296,144,8640,6,0,6 days 0 hours,6
180,2,Gangtok,13-05-2021 11:14,2,15-05-2021 11:14,6552,13568,48,2880,2,0,2 days 0 hours,2
187,2,Udaipur,07-01-2021 10:34,6,13-01-2021 10:34,8639,30612,144,8640,6,0,6 days 0 hours,6
188,2,Kota,07-08-2021 14:03,4,11-08-2021 14:03,8273,29064,96,5760,4,0,4 days 0 hours,4
189,2,Jaipur,15-07-2021 19:45,3,18-07-2021 19:45,7294,30612,72,4320,3,0,3 days 0 hours,3
192,2,Thiruvananthapuram,08-05-2021 05:22,1,09-05-2021 05:22,8100,8380,24,1440,1,0,1 days 0 hours,1
197,2,Bhubaneswar,09-09-2021 01:19,7,16-09-2021 01:19,7809,55692,168,10080,7,0,7 days 0 hours,7
201,2,Ranchi,11-07-2021 01:17,7,18-07-2021 01:17,310,99792,168,10080,7,0,7 days 0 hours,7
205,2,Dabolim,11-04-2021 03:22,6,17-04-2021 03:22,431,30912,144,8640,6,0,6 days 0 hours,6
211,2,Raigarh,16-12-2021 13:08,4,20-12-2021 13:08,4349,42784,96,5760,4,0,4 days 0 hours,4
213,2,Vadodara,30-12-2021 16:16,4,03-01-2022 16:16,3937,41456,96,5760,4,0,4 days 0 hours,4
214,2,Ludhiana,01-06-2022 21:30,6,07-06-2022 21:30,4185,64536,144,8640,6,0,6 days 0 hours,6
219,2,Varanasi,02-10-2022 02:00,3,05-10-2022 02:00,5949,32088,72,4320,3,0,3 days 0 hours,3
221,2,Mumbai,24-02-2022 13:52,7,03-03-2022 13:52,10674,57792,168,10080,7,0,7 days 0 hours,7
224,2,Ayodhya,17-03-2022 16:25,4,21-03-2022 16:25,7794,42224,96,5760,4,0,4 days 0 hours,4
225,2,Guwahati,24-03-2022 03:38,4,28-03-2022 03:38,2283,32064,96,5760,4,0,4 days 0 hours,4
233,3,Dehradun,14-11-2019 09:28,5,19-11-2019 09:28,5066,38150,120,7200,5,0,5 days 0 hours,5
235,3,Varanasi,28-11-2019 22:06,5,03-12-2019 22:06,5982,100540,120,7200,5,0,5 days 0 hours,5
238,3,Dhubri,19-12-2019 18:08,4,23-12-2019 18:08,6075,28104,96,5760,4,0,4 days 0 hours,4
239,3,Coimbatore,26-12-2019 09:03,2,28-12-2019 09:03,16,10104,48,2880,2,0,2 days 0 hours,2
240,3,Udaipur,01-02-2020 08:34,7,08-02-2020 08:34,8694,71428,168,10080,7,0,7 days 0 hours,7
241,3,Mopa,01-09-2020 17:07,2,03-09-2020 17:07,3560,13568,48,2880,2,0,2 days 0 hours,2
243,3,Kota,23-01-2020 14:50,6,29-01-2020 14:50,8238,84732,144,8640,6,0,6 days 0 hours,6
244,3,Gwalior,30-01-2020 21:34,2,01-02-2020 21:34,1893,19192,48,2880,2,0,2 days 0 hours,2
246,3,Prayagraj,13-02-2020 17:52,4,17-02-2020 17:52,3626,29320,96,5760,4,0,4 days 0 hours,4
248,3,Varanasi,28-02-2020 01:00,7,06-03-2020 01:00,5938,83440,168,10080,7,0,7 days 0 hours,7
255,3,Nashik,16-04-2020 13:36,0,16-04-2020 18:36,3296,5852,5,300,0,5,0 days 5 hours,0.208333333
259,3,Ayodhya,14-05-2020 12:30,3,17-05-2020 12:30,7667,21798,72,4320,3,0,3 days 0 hours,3
263,3,Srinagar,06-11-2020 10:11,6,12-11-2020 10:11,5246,53976,144,8640,6,0,6 days 0 hours,6
269,3,Udaipur,23-07-2020 15:27,2,25-07-2020 15:27,8713,16232,48,2880,2,0,2 days 0 hours,2
275,3,Patna,10-03-2020 01:22,3,13-03-2020 01:22,10534,33312,72,4320,3,0,3 days 0 hours,3
279,3,Jamshedpur,10-01-2020 12:08,4,14-01-2020 12:08,3189,45584,96,5760,4,0,4 days 0 hours,4
283,3,Puducherry,30-10-2020 00:58,6,05-11-2020 00:58,2888,37260,144,8640,6,0,6 days 0 hours,6
287,3,Nashik,26-11-2020 07:11,3,29-11-2020 07:11,3233,21198,72,4320,3,0,3 days 0 hours,3
290,3,Srinagar,17-12-2020 14:51,0,18-12-2020 05:51,5367,7820,15,900,0,15,0 days 15 hours,0.625
291,3,Kolkata,24-12-2020 22:38,6,30-12-2020 22:38,6326,65376,144,8640,6,0,6 days 0 hours,6
295,3,Kota,21-01-2021 13:42,7,28-01-2021 13:42,8341,95200,168,10080,7,0,7 days 0 hours,7
296,3,Nashik,28-01-2021 15:00,6,03-02-2021 15:00,3220,43980,144,8640,6,0,6 days 0 hours,6
299,3,Dehradun,18-02-2021 23:59,3,21-02-2021 23:59,5063,16410,72,4320,3,0,3 days 0 hours,3
300,3,Guwahati,25-02-2021 07:21,2,27-02-2021 07:21,2354,19912,48,2880,2,0,2 days 0 hours,2
303,3,Patna,18-03-2021 07:54,0,54:00.0,10567,7820,13,780,0,13,0 days 13 hours,0.541666667
305,3,Gwalior,04-01-2021 11:13,5,09-01-2021 11:13,1888,31300,120,7200,5,0,5 days 0 hours,5
306,3,Raipur,04-08-2021 06:33,3,07-08-2021 06:33,2761,31044,72,4320,3,0,3 days 0 hours,3
307,3,Pune,15-04-2021 23:30,6,21-04-2021 23:30,1569,64536,144,8640,6,0,6 days 0 hours,6
311,3,Varanasi,13-05-2021 13:22,7,20-05-2021 13:22,5878,100254,168,10080,7,0,7 days 0 hours,7
315,3,Imphal,06-10-2021 17:29,6,12-10-2021 17:29,9580,59880,144,8640,6,0,6 days 0 hours,6
322,3,Khowai,30-07-2021 00:09,6,05-08-2021 00:09,1058,61020,144,8640,6,0,6 days 0 hours,6
325,3,Srinagar,19-08-2021 16:25,6,25-08-2021 16:25,5248,33960,144,8640,6,0,6 days 0 hours,6
337,3,Coimbatore,12-11-2021 01:26,2,14-11-2021 01:26,137,20528,48,2880,2,0,2 days 0 hours,2
338,3,Mumbai,18-11-2021 02:49,7,25-11-2021 02:49,10728,52920,168,10080,7,0,7 days 0 hours,7
347,3,Gwalior,21-01-2022 01:46,2,23-01-2022 01:46,1828,13416,48,2880,2,0,2 days 0 hours,2
350,3,Visakhapatnam,02-10-2022 07:54,5,07-10-2022 07:54,9967,40600,120,7200,5,0,5 days 0 hours,5
363,3,Gwalior,05-12-2022 05:58,3,08-12-2022 05:58,1840,14652,72,4320,3,0,3 days 0 hours,3
369,3,Raipur,23-06-2022 23:25,4,27-06-2022 23:25,2761,41392,96,5760,4,0,4 days 0 hours,4
373,3,Navi Mumbai,22-07-2022 00:31,3,25-07-2022 00:31,1202,20124,72,4320,3,0,3 days 0 hours,3
377,3,Raigarh,18-08-2022 20:38,7,25-08-2022 20:38,4360,47488,168,10080,7,0,7 days 0 hours,7
382,3,Kolkata,22-09-2022 17:47,2,24-09-2022 17:47,6358,32544,48,2880,2,0,2 days 0 hours,2
383,3,Imphal,29-09-2022 23:54,3,02-10-2022 23:54,9557,43248,72,4320,3,0,3 days 0 hours,3
385,3,Vijayawada,13-10-2022 05:43,2,15-10-2022 05:43,1733,21592,48,2880,2,0,2 days 0 hours,2
387,3,Vijayawada,27-10-2022 06:45,1,28-10-2022 06:45,1695,5734,24,1440,1,0,1 days 0 hours,1
388,3,Surat,11-03-2022 07:12,1,12-03-2022 07:12,8542,19508,24,1440,1,0,1 days 0 hours,1
394,3,Jamshedpur,15-12-2022 19:29,7,22-12-2022 19:29,3056,37114,168,10080,7,0,7 days 0 hours,7
397,3,Ludhiana,01-05-2023 14:58,3,04-05-2023 14:58,4157,43548,72,4320,3,0,3 days 0 hours,3
398,3,Chandigarh,01-12-2023 03:22,2,03-12-2023 03:22,9112,11768,48,2880,2,0,2 days 0 hours,2
403,3,Kolkata,16-02-2023 22:20,2,18-02-2023 22:20,6292,15416,48,2880,2,0,2 days 0 hours,2
404,3,Jaipur,24-02-2023 00:19,5,01-03-2023 00:19,7302,92540,120,7200,5,0,5 days 0 hours,5
406,3,Udaipur,03-09-2023 20:20,3,06-09-2023 20:20,8714,26868,72,4320,3,0,3 days 0 hours,3
408,3,Diu,23-03-2023 21:20,2,25-03-2023 21:20,8808,10920,48,2880,2,0,2 days 0 hours,2
409,3,Jamshedpur,30-03-2023 16:46,1,31-03-2023 16:46,3028,6708,24,1440,1,0,1 days 0 hours,1
410,3,Bengaluru,04-06-2023 14:50,7,11-06-2023 14:50,2050,78120,168,10080,7,0,7 days 0 hours,7
412,3,Udaipur,20-04-2023 16:16,4,24-04-2023 16:16,8623,21080,96,5760,4,0,4 days 0 hours,4
415,3,Hyderabad,06-11-2023 01:09,5,11-11-2023 01:09,888,32300,120,7200,5,0,5 days 0 hours,5
417,3,Vadodara,25-05-2023 05:40,6,31-05-2023 05:40,3934,67224,144,8640,6,0,6 days 0 hours,6
418,3,Bhubaneswar,06-01-2023 09:47,7,13-01-2023 09:47,7931,66836,168,10080,7,0,7 days 0 hours,7
419,3,Imphal,06-08-2023 04:41,4,10-08-2023 04:41,9495,22736,96,5760,4,0,4 days 0 hours,4
424,3,Ludhiana,13-07-2023 19:45,5,18-07-2023 19:45,4172,47540,120,7200,5,0,5 days 0 hours,5
426,4,Vijayawada,10-03-2019 13:15,0,10-03-2019 22:15,1714,8806,9,540,0,9,0 days 9 hours,0.375
431,4,Itanagar,11-07-2019 18:13,1,12-07-2019 18:13,5616,5052,24,1440,1,0,1 days 0 hours,1
432,4,Imphal,14-11-2019 22:48,2,16-11-2019 22:48,9553,18032,48,2880,2,0,2 days 0 hours,2
440,4,Bilaspur,01-09-2020 01:43,2,03-09-2020 01:43,2515,15152,48,2880,2,0,2 days 0 hours,2
442,4,Indore,23-01-2020 21:26,5,28-01-2020 21:26,10127,36100,120,7200,5,0,5 days 0 hours,5
445,4,Hyderabad,14-02-2020 01:35,7,21-02-2020 01:35,914,62692,168,10080,7,0,7 days 0 hours,7
447,4,Kullu-Manali,27-02-2020 17:56,6,04-03-2020 17:56,7511,35412,144,8640,6,0,6 days 0 hours,6
450,4,Puducherry,19-03-2020 16:21,2,21-03-2020 16:21,2819,14232,48,2880,2,0,2 days 0 hours,2
452,4,Srinagar,04-02-2020 05:03,4,08-02-2020 05:03,5312,22936,96,5760,4,0,4 days 0 hours,4
456,4,Surat,30-04-2020 03:04,7,07-05-2020 03:04,8559,49364,168,10080,7,0,7 days 0 hours,7
457,4,Dabolim,06-07-2020 00:15,0,06-07-2020 12:15,461,12000,12,720,0,12,0 days 12 hours,0.5
468,4,Patna,23-07-2020 05:59,0,59:00.0,10521,9448,14,840,0,14,0 days 14 hours,0.583333333
473,4,Vadodara,27-08-2020 02:30,6,02-09-2020 02:30,3807,31320,144,8640,6,0,6 days 0 hours,6
481,4,Mysuru,22-10-2020 08:45,1,23-10-2020 08:45,10270,13506,24,1440,1,0,1 days 0 hours,1
486,4,Patna,26-11-2020 08:39,3,29-11-2020 08:39,10488,18930,72,4320,3,0,3 days 0 hours,3
490,4,Khowai,24-12-2020 22:54,4,28-12-2020 22:54,1197,60864,96,5760,4,0,4 days 0 hours,4
491,4,Patna,31-12-2020 11:37,4,04-01-2021 11:37,10443,29264,96,5760,4,0,4 days 0 hours,4
494,4,Srinagar,21-01-2021 19:47,4,25-01-2021 19:47,5256,21008,96,5760,4,0,4 days 0 hours,4
498,4,Kota,19-02-2021 01:37,6,25-02-2021 01:37,8282,45048,144,8640,6,0,6 days 0 hours,6
500,4,Tirupati,03-04-2021 23:14,2,05-04-2021 23:14,4999,15304,48,2880,2,0,2 days 0 hours,2
501,4,Kota,03-11-2021 12:33,6,09-11-2021 12:33,8371,60888,144,8640,6,0,6 days 0 hours,6
505,4,Mumbai,05-08-2021 01:46,4,09-08-2021 01:46,10607,21080,96,5760,4,0,4 days 0 hours,4
514,4,Puducherry,06-10-2021 10:04,0,06-10-2021 22:04,2847,5370,12,720,0,12,0 days 12 hours,0.5
517,4,Hisar,08-01-2021 01:47,2,10-01-2021 01:47,9765,22128,48,2880,2,0,2 days 0 hours,2
529,4,Khowai,23-09-2021 05:30,5,28-09-2021 05:30,1012,33290,120,7200,5,0,5 days 0 hours,5
532,4,Coimbatore,15-10-2021 01:07,3,18-10-2021 01:07,172,27924,72,4320,3,0,3 days 0 hours,3
537,4,Amritsar,18-11-2021 21:53,7,25-11-2021 21:53,6857,60648,168,10080,7,0,7 days 0 hours,7
541,4,Patna,16-12-2021 18:41,7,23-12-2021 18:41,10584,56420,168,10080,7,0,7 days 0 hours,7
543,4,Mumbai,30-12-2021 19:46,5,04-01-2022 19:46,10659,37080,120,7200,5,0,5 days 0 hours,5
545,4,Puri,13-01-2022 05:12,1,14-01-2022 05:12,4687,6070,24,1440,1,0,1 days 0 hours,1
548,4,Dabolim,02-03-2022 06:16,7,09-03-2022 06:16,533,75572,168,10080,7,0,7 days 0 hours,7
555,4,Shillong,24-03-2022 15:04,6,30-03-2022 15:04,6626,44280,144,8640,6,0,6 days 0 hours,6
556,4,Ayodhya,31-03-2022 05:02,0,02:00.0,7712,5684,13,780,0,13,0 days 13 hours,0.541666667
557,4,Kota,04-07-2022 18:03,2,06-07-2022 18:03,8302,36616,48,2880,2,0,2 days 0 hours,2
559,4,Udaipur,21-04-2022 23:14,1,22-04-2022 23:14,8757,14616,24,1440,1,0,1 days 0 hours,1
562,4,Hyderabad,05-12-2022 21:56,1,06-12-2022 21:56,1000,7784,24,1440,1,0,1 days 0 hours,1
564,4,Pune,26-05-2022 14:34,3,29-05-2022 14:34,1533,32688,72,4320,3,0,3 days 0 hours,3
565,4,Imphal,06-02-2022 14:43,7,13-02-2022 14:43,9482,52556,168,10080,7,0,7 days 0 hours,7
574,4,Hyderabad,08-04-2022 07:45,4,12-04-2022 07:45,882,30832,96,5760,4,0,4 days 0 hours,4
578,4,Pune,09-01-2022 23:57,3,12-01-2022 23:57,1484,21450,72,4320,3,0,3 days 0 hours,3
581,4,Itanagar,22-09-2022 19:58,6,28-09-2022 19:58,5763,58896,144,8640,6,0,6 days 0 hours,6
582,4,Mumbai,29-09-2022 23:15,3,02-10-2022 23:15,10665,24768,72,4320,3,0,3 days 0 hours,3
586,4,Jamshedpur,27-10-2022 02:12,0,27-10-2022 17:12,3034,7956,15,900,0,15,0 days 15 hours,0.625
587,4,Varanasi,11-03-2022 12:34,6,17-03-2022 12:34,5867,43596,144,8640,6,0,6 days 0 hours,6
588,4,Bhopal,11-10-2022 08:54,5,16-10-2022 08:54,7005,41820,120,7200,5,0,5 days 0 hours,5
591,4,Tirupati,12-01-2022 19:36,3,15-01-2022 19:36,4822,52374,72,4320,3,0,3 days 0 hours,3
596,4,Vadodara,01-05-2023 05:14,4,05-05-2023 05:14,3819,28464,96,5760,4,0,4 days 0 hours,4
598,4,Mysuru,19-01-2023 04:58,3,22-01-2023 04:58,10355,26328,72,4320,3,0,3 days 0 hours,3
604,4,Shillong,03-02-2023 11:39,0,03-02-2023 20:39,6745,9956,9,540,0,9,0 days 9 hours,0.375
605,4,Gwalior,03-09-2023 13:56,3,06-09-2023 13:56,1940,27840,72,4320,3,0,3 days 0 hours,3
609,4,Vijayawada,05-06-2023 00:14,6,11-06-2023 00:14,1693,57876,144,8640,6,0,6 days 0 hours,6
619,4,Dehradun,15-06-2023 04:59,2,17-06-2023 04:59,5144,14920,48,2880,2,0,2 days 0 hours,2
621,4,Jamshedpur,29-06-2023 09:02,2,01-07-2023 09:02,3033,14232,48,2880,2,0,2 days 0 hours,2
623,4,Nashik,13-07-2023 18:33,0,14-07-2023 03:33,3381,14400,9,540,0,9,0 days 9 hours,0.375
624,5,Nashik,26-09-2019 14:20,0,20:00.0,3301,12500,1,60,0,1,0 days 1 hours,0.041666667
638,5,Visakhapatnam,01-02-2020 23:52,6,07-02-2020 23:52,9988,57648,144,8640,6,0,6 days 0 hours,6
643,5,Mopa,02-06-2020 17:48,2,04-06-2020 17:48,3431,10204,48,2880,2,0,2 days 0 hours,2
644,5,Nashik,14-02-2020 00:38,3,17-02-2020 00:38,3300,24540,72,4320,3,0,3 days 0 hours,3
646,5,Bhopal,27-02-2020 12:52,4,02-03-2020 12:52,7140,37120,96,5760,4,0,4 days 0 hours,4
648,5,Mysuru,03-12-2020 20:36,4,07-12-2020 20:36,10300,32720,96,5760,4,0,4 days 0 hours,4
658,5,Srinagar,21-05-2020 06:42,2,23-05-2020 06:42,5290,23420,48,2880,2,0,2 days 0 hours,2
668,5,Hisar,30-07-2020 08:58,5,04-08-2020 08:58,9634,39780,120,7200,5,0,5 days 0 hours,5
670,5,Udaipur,13-08-2020 10:40,2,15-08-2020 10:40,8677,25632,48,2880,2,0,2 days 0 hours,2
676,5,Puducherry,24-09-2020 17:01,3,27-09-2020 17:01,2848,16830,72,4320,3,0,3 days 0 hours,3
680,5,Guwahati,23-10-2020 00:11,6,29-10-2020 00:11,2261,71700,144,8640,6,0,6 days 0 hours,6
683,5,Coimbatore,11-12-2020 14:03,0,11-12-2020 17:03,137,10264,3,180,0,3,0 days 3 hours,0.125
687,5,Kota,12-10-2020 07:35,2,14-10-2020 07:35,8327,14240,48,2880,2,0,2 days 0 hours,2
688,6,Visakhapatnam,26-09-2019 19:26,3,29-09-2019 19:26,9922,26424,72,4320,3,0,3 days 0 hours,3
690,6,Kolkata,10-10-2019 02:32,5,15-10-2019 02:32,6273,37080,120,7200,5,0,5 days 0 hours,5
695,6,Raigarh,14-11-2019 13:26,2,16-11-2019 13:26,4392,14968,48,2880,2,0,2 days 0 hours,2
696,6,Ranchi,21-11-2019 11:09,4,25-11-2019 11:09,218,40280,96,5760,4,0,4 days 0 hours,4
698,6,Bhopal,12-05-2019 20:03,6,18-05-2019 20:03,7069,53976,144,8640,6,0,6 days 0 hours,6
699,6,Jamshedpur,12-12-2019 05:12,1,13-12-2019 05:12,3024,5460,24,1440,1,0,1 days 0 hours,1
701,6,Tirupati,26-12-2019 13:55,6,01-01-2020 13:55,4868,41148,144,8640,6,0,6 days 0 hours,6
707,6,Hyderabad,02-06-2020 19:38,4,06-06-2020 19:38,993,40064,96,5760,4,0,4 days 0 hours,4
711,6,Mopa,03-05-2020 03:54,1,04-05-2020 03:54,3474,8156,24,1440,1,0,1 days 0 hours,1
712,6,Navi Mumbai,03-12-2020 06:10,5,08-12-2020 06:10,1382,100540,120,7200,5,0,5 days 0 hours,5
718,6,Khowai,23-04-2020 21:11,6,29-04-2020 21:11,1100,49080,144,8640,6,0,6 days 0 hours,6
719,6,Visakhapatnam,30-04-2020 20:33,7,07-05-2020 20:33,9940,66360,168,10080,7,0,7 days 0 hours,7
723,6,Puri,28-05-2020 23:50,0,50:00.0,4692,7558,5,300,0,5,0 days 5 hours,0.208333333
739,6,Guwahati,17-09-2020 08:29,5,22-09-2020 08:29,2254,47270,120,7200,5,0,5 days 0 hours,5
745,6,Kullu-Manali,29-10-2020 08:19,3,01-11-2020 08:19,7553,27348,72,4320,3,0,3 days 0 hours,3
746,6,Khowai,11-05-2020 11:31,2,13-05-2020 11:31,1193,19632,48,2880,2,0,2 days 0 hours,2
747,6,Puducherry,11-12-2020 12:27,3,14-12-2020 12:27,2853,26838,72,4320,3,0,3 days 0 hours,3
749,6,Jamshedpur,26-11-2020 23:36,7,03-12-2020 23:36,3156,63812,168,10080,7,0,7 days 0 hours,7
753,6,Bhopal,24-12-2020 16:03,2,26-12-2020 16:03,7053,17992,48,2880,2,0,2 days 0 hours,2
754,6,Jaipur,31-12-2020 15:21,6,06-01-2021 15:21,7344,45360,144,8640,6,0,6 days 0 hours,6
755,6,Srinagar,01-07-2021 12:54,5,06-07-2021 12:54,5358,80360,120,7200,5,0,5 days 0 hours,5
762,6,Jamshedpur,25-02-2021 02:29,7,04-03-2021 02:29,3090,81970,168,10080,7,0,7 days 0 hours,7
767,6,Gwalior,04-01-2021 18:14,3,07-01-2021 18:14,1948,25824,72,4320,3,0,3 days 0 hours,3
778,7,Mysuru,21-11-2019 05:38,5,26-11-2019 05:38,10255,25170,120,7200,5,0,5 days 0 hours,5
787,7,Udaipur,24-01-2020 02:13,6,30-01-2020 02:13,8616,30612,144,8640,6,0,6 days 0 hours,6
788,7,Ludhiana,30-01-2020 23:16,5,04-02-2020 23:16,4020,37150,120,7200,5,0,5 days 0 hours,5
793,7,Srinagar,03-05-2020 14:10,3,06-05-2020 14:10,5290,35130,72,4320,3,0,3 days 0 hours,3
795,7,Amritsar,19-03-2020 16:30,5,24-03-2020 16:30,6981,73000,120,7200,5,0,5 days 0 hours,5
803,7,Navi Mumbai,14-05-2020 04:52,6,20-05-2020 04:52,1226,44280,144,8640,6,0,6 days 0 hours,6
805,7,Dehradun,28-05-2020 02:49,6,03-06-2020 02:49,5092,45648,144,8640,6,0,6 days 0 hours,6
806,7,Tirupati,06-04-2020 21:19,6,12-04-2020 21:19,4941,81600,144,8640,6,0,6 days 0 hours,6
808,7,Coimbatore,19-06-2020 02:48,3,22-06-2020 02:48,41,23244,72,4320,3,0,3 days 0 hours,3
809,7,Delhi NCR,25-06-2020 08:39,4,29-06-2020 08:39,5544,30240,96,5760,4,0,4 days 0 hours,4
812,7,Diu,17-07-2020 01:33,5,22-07-2020 01:33,8862,88540,120,7200,5,0,5 days 0 hours,5
815,7,Mysuru,08-06-2020 18:12,7,15-06-2020 18:12,10362,65156,168,10080,7,0,7 days 0 hours,7
817,7,Patna,20-08-2020 10:27,7,27-08-2020 10:27,10516,55762,168,10080,7,0,7 days 0 hours,7
819,7,Guwahati,09-03-2020 10:17,6,15-03-2020 10:17,2310,85536,144,8640,6,0,6 days 0 hours,6
823,8,Chennai,11-03-2019 00:07,7,18-03-2019 00:07,4436,50162,168,10080,7,0,7 days 0 hours,7
