Car_Id,Make,Model,Car Type,Mileage,Year of Manufacture,Price per day,City,Agency_Name,Base_Fare,LocationID
59,Ford,Ford Fusion,Sedan,15 kmpl,2015,5000,Coimbatore,Smart Rentals Coimbatore,1100,1
60,Ford,Ford Taurus,Sedan,14 kmpl,2022,5800,Coimbatore,Smart Rentals Coimbatore,1100,1
61,Ford,Ford Mustang,Luxury,10 kmpl,1964,11000,Coimbatore,Smart Rentals Coimbatore,1100,1
62,Ford,Ford GT,Luxury,7 kmpl,2004,17000,Coimbatore,Smart Rentals Coimbatore,1100,1
63,Ford,Ford Fiesta,Hatchback,18 kmpl,2012,4000,Coimbatore,Smart Rentals Coimbatore,1100,1
64,Ford,Ford Focus,Hatchback,17 kmpl,2018,4500,Coimbatore,Smart Rentals Coimbatore,1100,1
65,Honda,Honda CR-V,SUV,14 kmpl,2020,7000,Coimbatore,Smart Rentals Coimbatore,1100,1
66,Honda,Honda HR-V,SUV,16 kmpl,2018,6500,Coimbatore,Smart Rentals Coimbatore,1100,1
67,Honda,Honda Accord,Sedan,17 kmpl,2013,6000,Coimbatore,Smart Rentals Coimbatore,1100,1
68,Honda,Honda City,Sedan,19 kmpl,2012,5000,Coimbatore,Smart Rentals Coimbatore,1100,1
69,Honda,Honda Legend,Luxury,12 kmpl,2001,7500,Coimbatore,Smart Rentals Coimbatore,1100,1
70,Honda,Honda NSX,Luxury,10 kmpl,1999,12500,Coimbatore,Smart Rentals Coimbatore,1100,1
71,Honda,Honda Jazz,Hatchback,18 kmpl,2001,4000,Coimbatore,Smart Rentals Coimbatore,1100,1
72,Honda,Honda Brio,Hatchback,20 kmpl,2011,3500,Coimbatore,Smart Rentals Coimbatore,1100,1
73,Hyundai,Hyundai Creta,SUV,18 kmpl,2014,6000,Coimbatore,Smart Rentals Coimbatore,1100,1
74,Hyundai,Hyundai Tucson,SUV,15 kmpl,2004,7000,Coimbatore,Smart Rentals Coimbatore,1100,1
75,Hyundai,Hyundai Verna,Sedan,19 kmpl,2018,5500,Coimbatore,Smart Rentals Coimbatore,1100,1
76,Hyundai,Hyundai Elantra,Sedan,17 kmpl,2016,6000,Coimbatore,Smart Rentals Coimbatore,1100,1
77,Hyundai,Hyundai Genesis G90,Luxury,10 kmpl,2015,11000,Coimbatore,Smart Rentals Coimbatore,1100,1
78,Hyundai,Hyundai Palisade,Luxury,12 kmpl,2018,9000,Coimbatore,Smart Rentals Coimbatore,1100,1
79,Hyundai,Hyundai i20,Hatchback,20 kmpl,2008,4000,Coimbatore,Smart Rentals Coimbatore,1100,1
80,Hyundai,Hyundai Grand i10 Nios,Hatchback,21 kmpl,2019,3500,Coimbatore,Smart Rentals Coimbatore,1100,1
81,Volkswagen,Volkswagen Tiguan,SUV,15 kmpl,2007,7500,Coimbatore,City Drive Coimbatore,1700,1
82,Volkswagen,Volkswagen Taigun,SUV,19.20 kmpl (1.0 TSI Manual),2021,6500,Coimbatore,City Drive Coimbatore,1700,1
83,Volkswagen,Volkswagen Passat,Sedan,18 kmpl,2010,5800,Coimbatore,City Drive Coimbatore,1700,1
84,Volkswagen,Volkswagen Virtus,Sedan,20 kmpl,2018,5500,Coimbatore,City Drive Coimbatore,1700,1
85,Volkswagen,Volkswagen Arteon,Luxury,14 kmpl,2017,9000,Coimbatore,City Drive Coimbatore,1700,1
86,Volkswagen,Volkswagen Touareg,Luxury,12 kmpl,2002,10000,Coimbatore,City Drive Coimbatore,1700,1
87,Volkswagen,Volkswagen Polo,Hatchback,18 kmpl,2019,4000,Coimbatore,City Drive Coimbatore,1700,1
88,Volkswagen,Volkswagen Golf,Hatchback,17 kmpl,2005,4500,Coimbatore,City Drive Coimbatore,1700,1
89,Toyota,Toyota Fortuner,SUV,12 kmpl,2004,7000,Coimbatore,City Drive Coimbatore,1700,1
90,Toyota,Toyota Land Cruiser,SUV,9 kmpl,2001,10000,Coimbatore,City Drive Coimbatore,1700,1
91,Toyota,Toyota Camry,Sedan,19 kmpl,2017,6500,Coimbatore,City Drive Coimbatore,1700,1
92,Toyota,Toyota Corolla,Sedan,18 kmpl,2011,5500,Coimbatore,City Drive Coimbatore,1700,1
93,Toyota,Toyota Crown,Luxury,12 kmpl,2008,8500,Coimbatore,City Drive Coimbatore,1700,1
94,Toyota,Toyota Mirai,Luxury,15 kmpl,2014,9000,Coimbatore,City Drive Coimbatore,1700,1
95,Toyota,Toyota Yaris,Hatchback,20 kmpl,2015,4500,Coimbatore,City Drive Coimbatore,1700,1
96,Toyota,Toyota Glanza,Hatchback,21 kmpl,2019,4000,Coimbatore,City Drive Coimbatore,1700,1
97,Ford,Ford Endeavour,SUV,12 kmpl,2003,8000,Coimbatore,City Drive Coimbatore,1700,1
98,Ford,Ford Bronco,SUV,10 kmpl,2024,8500,Coimbatore,City Drive Coimbatore,1700,1
99,Ford,Ford Fusion,Sedan,15 kmpl,2015,5000,Coimbatore,City Drive Coimbatore,1700,1
100,Ford,Ford Taurus,Sedan,14 kmpl,2022,5800,Coimbatore,City Drive Coimbatore,1700,1
101,Ford,Ford Mustang,Luxury,10 kmpl,1964,11000,Coimbatore,City Drive Coimbatore,1700,1
102,Ford,Ford GT,Luxury,7 kmpl,2004,17000,Coimbatore,City Drive Coimbatore,1700,1
103,Ford,Ford Fiesta,Hatchback,18 kmpl,2012,4000,Coimbatore,City Drive Coimbatore,1700,1
104,Ford,Ford Focus,Hatchback,17 kmpl,2018,4500,Coimbatore,City Drive Coimbatore,1700,1
105,Honda,Honda CR-V,SUV,14 kmpl,2020,7000,Coimbatore,City Drive Coimbatore,1700,1
106,Honda,Honda HR-V,SUV,16 kmpl,2018,6500,Coimbatore,City Drive Coimbatore,1700,1
107,Honda,Honda Accord,Sedan,17 kmpl,2013,6000,Coimbatore,City Drive Coimbatore,1700,1
108,Honda,Honda City,Sedan,19 kmpl,2012,5000,Coimbatore,City Drive Coimbatore,1700,1
109,Honda,Honda Legend,Luxury,12 kmpl,2001,7500,Coimbatore,City Drive Coimbatore,1700,1
110,Honda,Honda NSX,Luxury,10 kmpl,1999,12500,Coimbatore,City Drive Coimbatore,1700,1
111,Honda,Honda Jazz,Hatchback,18 kmpl,2001,4000,Coimbatore,City Drive Coimbatore,1700,1
112,Honda,Honda Brio,Hatchback,20 kmpl,2011,3500,Coimbatore,City Drive Coimbatore,1700,1
113,Hyundai,Hyundai Creta,SUV,18 kmpl,2014,6000,Coimbatore,City Drive Coimbatore,1700,1
114,Hyundai,Hyundai Tucson,SUV,15 kmpl,2004,7000,Coimbatore,City Drive Coimbatore,1700,1
115,Hyundai,Hyundai Verna,Sedan,19 kmpl,2018,5500,Coimbatore,City Drive Coimbatore,1700,1
116,Hyundai,Hyundai Elantra,Sedan,17 kmpl,2016,6000,Coimbatore,City Drive Coimbatore,1700,1
117,Hyundai,Hyundai Genesis G90,Luxury,10 kmpl,2015,11000,Coimbatore,City Drive Coimbatore,1700,1
118,Hyundai,Hyundai Palisade,Luxury,12 kmpl,2018,9000,Coimbatore,City Drive Coimbatore,1700,1
119,Hyundai,Hyundai i20,Hatchback,20 kmpl,2008,4000,Coimbatore,City Drive Coimbatore,1700,1
120,Hyundai,Hyundai Grand i10 Nios,Hatchback,21 kmpl,2019,3500,Coimbatore,City Drive Coimbatore,1700,1
121,Volkswagen,Volkswagen Tiguan,SUV,15 kmpl,2007,7500,Coimbatore,Prestige Auto Coimbatore,2800,1
122,Volkswagen,Volkswagen Taigun,SUV,19.20 kmpl (1.0 TSI Manual),2021,6500,Coimbatore,Prestige Auto Coimbatore,2800,1
123,Volkswagen,Volkswagen Passat,Sedan,18 kmpl,2010,5800,Coimbatore,Prestige Auto Coimbatore,2800,1
124,Volkswagen,Volkswagen Virtus,Sedan,20 kmpl,2018,5500,Coimbatore,Prestige Auto Coimbatore,2800,1
125,Volkswagen,Volkswagen Arteon,Luxury,14 kmpl,2017,9000,Coimbatore,Prestige Auto Coimbatore,2800,1
126,Volkswagen,Volkswagen Touareg,Luxury,12 kmpl,2002,10000,Coimbatore,Prestige Auto Coimbatore,2800,1
127,Volkswagen,Volkswagen Polo,Hatchback,18 kmpl,2019,4000,Coimbatore,Prestige Auto Coimbatore,2800,1
128,Volkswagen,Volkswagen Golf,Hatchback,17 kmpl,2005,4500,Coimbatore,Prestige Auto Coimbatore,2800,1
129,Toyota,Toyota Fortuner,SUV,12 kmpl,2004,7000,Coimbatore,Prestige Auto Coimbatore,2800,1
130,Toyota,Toyota Land Cruiser,SUV,9 kmpl,2001,10000,Coimbatore,Prestige Auto Coimbatore,2800,1
131,Toyota,Toyota Camry,Sedan,19 kmpl,2017,6500,Coimbatore,Prestige Auto Coimbatore,2800,1
132,Toyota,Toyota Corolla,Sedan,18 kmpl,2011,5500,Coimbatore,Prestige Auto Coimbatore,2800,1
133,Toyota,Toyota Crown,Luxury,12 kmpl,2008,8500,Coimbatore,Prestige Auto Coimbatore,2800,1
134,Toyota,Toyota Mirai,Luxury,15 kmpl,2014,9000,Coimbatore,Prestige Auto Coimbatore,2800,1
135,Toyota,Toyota Yaris,Hatchback,20 kmpl,2015,4500,Coimbatore,Prestige Auto Coimbatore,2800,1
136,Toyota,Toyota Glanza,Hatchback,21 kmpl,2019,4000,Coimbatore,Prestige Auto Coimbatore,2800,1
137,Ford,Ford Endeavour,SUV,12 kmpl,2003,8000,Coimbatore,Prestige Auto Coimbatore,2800,1
138,Ford,Ford Bronco,SUV,10 kmpl,2024,8500,Coimbatore,Prestige Auto Coimbatore,2800,1
139,Ford,Ford Fusion,Sedan,15 kmpl,2015,5000,Coimbatore,Prestige Auto Coimbatore,2800,1
140,Ford,Ford Taurus,Sedan,14 kmpl,2022,5800,Coimbatore,Prestige Auto Coimbatore,2800,1
141,Ford,Ford Mustang,Luxury,10 kmpl,1964,11000,Coimbatore,Prestige Auto Coimbatore,2800,1
142,Ford,Ford GT,Luxury,7 kmpl,2004,17000,Coimbatore,Prestige Auto Coimbatore,2800,1
143,Ford,Ford Fiesta,Hatchback,18 kmpl,2012,4000,Coimbatore,Prestige Auto Coimbatore,2800,1
144,Ford,Ford Focus,Hatchback,17 kmpl,2018,4500,Coimbatore,Prestige Auto Coimbatore,2800,1
145,Honda,Honda CR-V,SUV,14 kmpl,2020,7000,Coimbatore,Prestige Auto Coimbatore,2800,1
146,Honda,Honda HR-V,SUV,16 kmpl,2018,6500,Coimbatore,Prestige Auto Coimbatore,2800,1
147,Honda,Honda Accord,Sedan,17 kmpl,2013,6000,Coimbatore,Prestige Auto Coimbatore,2800,1
148,Honda,Honda City,Sedan,19 kmpl,2012,5000,Coimbatore,Prestige Auto Coimbatore,2800,1
149,Honda,Honda Legend,Luxury,12 kmpl,2001,7500,Coimbatore,Prestige Auto Coimbatore,2800,1
150,Honda,Honda NSX,Luxury,10 kmpl,1999,12500,Coimbatore,Prestige Auto Coimbatore,2800,1
151,Honda,Honda Jazz,Hatchback,18 kmpl,2001,4000,Coimbatore,Prestige Auto Coimbatore,2800,1
152,Honda,Honda Brio,Hatchback,20 kmpl,2011,3500,Coimbatore,Prestige Auto Coimbatore,2800,1
153,Hyundai,Hyundai Creta,SUV,18 kmpl,2014,6000,Coimbatore,Prestige Auto Coimbatore,2800,1
154,Hyundai,Hyundai Tucson,SUV,15 kmpl,2004,7000,Coimbatore,Prestige Auto Coimbatore,2800,1
155,Hyundai,Hyundai Verna,Sedan,19 kmpl,2018,5500,Coimbatore,Prestige Auto Coimbatore,2800,1
156,Hyundai,Hyundai Elantra,Sedan,17 kmpl,2016,6000,Coimbatore,Prestige Auto Coimbatore,2800,1
157,Hyundai,Hyundai Genesis G90,Luxury,10 kmpl,2015,11000,Coimbatore,Prestige Auto Coimbatore,2800,1
158,Hyundai,Hyundai Palisade,Luxury,12 kmpl,2018,9000,Coimbatore,Prestige Auto Coimbatore,2800,1
159,Hyundai,Hyundai i20,Hatchback,20 kmpl,2008,4000,Coimbatore,Prestige Auto Coimbatore,2800,1
160,Hyundai,Hyundai Grand i10 Nios,Hatchback,21 kmpl,2019,3500,Coimbatore,Prestige Auto Coimbatore,2800,1
161,Volkswagen,Volkswagen Tiguan,SUV,15 kmpl,2007,7500,Coimbatore,Luxury Motion Coimbatore,3500,1
162,Volkswagen,Volkswagen Taigun,SUV,19.20 kmpl (1.0 TSI Manual),2021,6500,Coimbatore,Luxury Motion Coimbatore,3500,1
163,Volkswagen,Volkswagen Passat,Sedan,18 kmpl,2010,5800,Coimbatore,Luxury Motion Coimbatore,3500,1
164,Volkswagen,Volkswagen Virtus,Sedan,20 kmpl,2018,5500,Coimbatore,Luxury Motion Coimbatore,3500,1
165,Volkswagen,Volkswagen Arteon,Luxury,14 kmpl,2017,9000,Coimbatore,Luxury Motion Coimbatore,3500,1
166,Volkswagen,Volkswagen Touareg,Luxury,12 kmpl,2002,10000,Coimbatore,Luxury Motion Coimbatore,3500,1
167,Volkswagen,Volkswagen Polo,Hatchback,18 kmpl,2019,4000,Coimbatore,Luxury Motion Coimbatore,3500,1
168,Volkswagen,Volkswagen Golf,Hatchback,17 kmpl,2005,4500,Coimbatore,Luxury Motion Coimbatore,3500,1
169,Toyota,Toyota Fortuner,SUV,12 kmpl,2004,7000,Coimbatore,Luxury Motion Coimbatore,3500,1
170,Toyota,Toyota Land Cruiser,SUV,9 kmpl,2001,10000,Coimbatore,Luxury Motion Coimbatore,3500,1
171,Toyota,Toyota Camry,Sedan,19 kmpl,2017,6500,Coimbatore,Luxury Motion Coimbatore,3500,1
172,Toyota,Toyota Corolla,Sedan,18 kmpl,2011,5500,Coimbatore,Luxury Motion Coimbatore,3500,1
173,Toyota,Toyota Crown,Luxury,12 kmpl,2008,8500,Coimbatore,Luxury Motion Coimbatore,3500,1
174,Toyota,Toyota Mirai,Luxury,15 kmpl,2014,9000,Coimbatore,Luxury Motion Coimbatore,3500,1
175,Toyota,Toyota Yaris,Hatchback,20 kmpl,2015,4500,Coimbatore,Luxury Motion Coimbatore,3500,1
176,Toyota,Toyota Glanza,Hatchback,21 kmpl,2019,4000,Coimbatore,Luxury Motion Coimbatore,3500,1
177,Ford,Ford Endeavour,SUV,12 kmpl,2003,8000,Coimbatore,Luxury Motion Coimbatore,3500,1
178,Ford,Ford Bronco,SUV,10 kmpl,2024,8500,Coimbatore,Luxury Motion Coimbatore,3500,1
179,Ford,Ford Fusion,Sedan,15 kmpl,2015,5000,Coimbatore,Luxury Motion Coimbatore,3500,1
180,Ford,Ford Taurus,Sedan,14 kmpl,2022,5800,Coimbatore,Luxury Motion Coimbatore,3500,1
181,Ford,Ford Mustang,Luxury,10 kmpl,1964,11000,Coimbatore,Luxury Motion Coimbatore,3500,1
182,Ford,Ford GT,Luxury,7 kmpl,2004,17000,Coimbatore,Luxury Motion Coimbatore,3500,1
183,Ford,Ford Fiesta,Hatchback,18 kmpl,2012,4000,Coimbatore,Luxury Motion Coimbatore,3500,1
184,Ford,Ford Focus,Hatchback,17 kmpl,2018,4500,Coimbatore,Luxury Motion Coimbatore,3500,1
185,Honda,Honda CR-V,SUV,14 kmpl,2020,7000,Coimbatore,Luxury Motion Coimbatore,3500,1
186,Honda,Honda HR-V,SUV,16 kmpl,2018,6500,Coimbatore,Luxury Motion Coimbatore,3500,1
187,Honda,Honda Accord,Sedan,17 kmpl,2013,6000,Coimbatore,Luxury Motion Coimbatore,3500,1
188,Honda,Honda City,Sedan,19 kmpl,2012,5000,Coimbatore,Luxury Motion Coimbatore,3500,1
189,Honda,Honda Legend,Luxury,12 kmpl,2001,7500,Coimbatore,Luxury Motion Coimbatore,3500,1
190,Honda,Honda NSX,Luxury,10 kmpl,1999,12500,Coimbatore,Luxury Motion Coimbatore,3500,1
191,Honda,Honda Jazz,Hatchback,18 kmpl,2001,4000,Coimbatore,Luxury Motion Coimbatore,3500,1
192,Honda,Honda Brio,Hatchback,20 kmpl,2011,3500,Coimbatore,Luxury Motion Coimbatore,3500,1
193,Hyundai,Hyundai Creta,SUV,18 kmpl,2014,6000,Coimbatore,Luxury Motion Coimbatore,3500,1
194,Hyundai,Hyundai Tucson,SUV,15 kmpl,2004,7000,Coimbatore,Luxury Motion Coimbatore,3500,1
195,Hyundai,Hyundai Verna,Sedan,19 kmpl,2018,5500,Coimbatore,Luxury Motion Coimbatore,3500,1
196,Hyundai,Hyundai Elantra,Sedan,17 kmpl,2016,6000,Coimbatore,Luxury Motion Coimbatore,3500,1
197,Hyundai,Hyundai Genesis G90,Luxury,10 kmpl,2015,11000,Coimbatore,Luxury Motion Coimbatore,3500,1
198,Hyundai,Hyundai Palisade,Luxury,12 kmpl,2018,9000,Coimbatore,Luxury Motion Coimbatore,3500,1
199,Hyundai,Hyundai i20,Hatchback,20 kmpl,2008,4000,Coimbatore,Luxury Motion Coimbatore,3500,1
200,Hyundai,Hyundai Grand i10 Nios,Hatchback,21 kmpl,2019,3500,Coimbatore,Luxury Motion Coimbatore,3500,1
201,Volkswagen,Volkswagen Tiguan,SUV,15 kmpl,2007,7500,Ranchi,EasyGo Ranchi,950,2
202,Volkswagen,Volkswagen Taigun,SUV,19.20 kmpl (1.0 TSI Manual),2021,6500,Ranchi,EasyGo Ranchi,950,2
203,Volkswagen,Volkswagen Passat,Sedan,18 kmpl,2010,5800,Ranchi,EasyGo Ranchi,950,2
204,Volkswagen,Volkswagen Virtus,Sedan,20 kmpl,2018,5500,Ranchi,EasyGo Ranchi,950,2
205,Volkswagen,Volkswagen Arteon,Luxury,14 kmpl,2017,9000,Ranchi,EasyGo Ranchi,950,2
206,Volkswagen,Volkswagen Touareg,Luxury,12 kmpl,2002,10000,Ranchi,EasyGo Ranchi,950,2
207,Volkswagen,Volkswagen Polo,Hatchback,18 kmpl,2019,4000,Ranchi,EasyGo Ranchi,950,2
208,Volkswagen,Volkswagen Golf,Hatchback,17 kmpl,2005,4500,Ranchi,EasyGo Ranchi,950,2
209,Toyota,Toyota Fortuner,SUV,12 kmpl,2004,7000,Ranchi,EasyGo Ranchi,950,2
210,Toyota,Toyota Land Cruiser,SUV,9 kmpl,2001,10000,Ranchi,EasyGo Ranchi,950,2
211,Toyota,Toyota Camry,Sedan,19 kmpl,2017,6500,Ranchi,EasyGo Ranchi,950,2
212,Toyota,Toyota Corolla,Sedan,18 kmpl,2011,5500,Ranchi,EasyGo Ranchi,950,2
213,Toyota,Toyota Crown,Luxury,12 kmpl,2008,8500,Ranchi,EasyGo Ranchi,950,2
214,Toyota,Toyota Mirai,Luxury,15 kmpl,2014,9000,Ranchi,EasyGo Ranchi,950,2
215,Toyota,Toyota Yaris,Hatchback,20 kmpl,2015,4500,Ranchi,EasyGo Ranchi,950,2
216,Toyota,Toyota Glanza,Hatchback,21 kmpl,2019,4000,Ranchi,EasyGo Ranchi,950,2
217,Ford,Ford Endeavour,SUV,12 kmpl,2003,8000,Ranchi,EasyGo Ranchi,950,2
218,Ford,Ford Bronco,SUV,10 kmpl,2024,8500,Ranchi,EasyGo Ranchi,950,2
219,Ford,Ford Fusion,Sedan,15 kmpl,2015,5000,Ranchi,EasyGo Ranchi,950,2
220,Ford,Ford Taurus,Sedan,14 kmpl,2022,5800,Ranchi,EasyGo Ranchi,950,2
221,Ford,Ford Mustang,Luxury,10 kmpl,1964,11000,Ranchi,EasyGo Ranchi,950,2
222,Ford,Ford GT,Luxury,7 kmpl,2004,17000,Ranchi,EasyGo Ranchi,950,2
223,Ford,Ford Fiesta,Hatchback,18 kmpl,2012,4000,Ranchi,EasyGo Ranchi,950,2
224,Ford,Ford Focus,Hatchback,17 kmpl,2018,4500,Ranchi,EasyGo Ranchi,950,2
225,Honda,Honda CR-V,SUV,14 kmpl,2020,7000,Ranchi,EasyGo Ranchi,950,2
226,Honda,Honda HR-V,SUV,16 kmpl,2018,6500,Ranchi,EasyGo Ranchi,950,2
227,Honda,Honda Accord,Sedan,17 kmpl,2013,6000,Ranchi,EasyGo Ranchi,950,2
228,Honda,Honda City,Sedan,19 kmpl,2012,5000,Ranchi,EasyGo Ranchi,950,2
229,Honda,Honda Legend,Luxury,12 kmpl,2001,7500,Ranchi,EasyGo Ranchi,950,2
230,Honda,Honda NSX,Luxury,10 kmpl,1999,12500,Ranchi,EasyGo Ranchi,950,2
231,Honda,Honda Jazz,Hatchback,18 kmpl,2001,4000,Ranchi,EasyGo Ranchi,950,2
232,Honda,Honda Brio,Hatchback,20 kmpl,2011,3500,Ranchi,EasyGo Ranchi,950,2
233,Hyundai,Hyundai Creta,SUV,18 kmpl,2014,6000,Ranchi,EasyGo Ranchi,950,2
234,Hyundai,Hyundai Tucson,SUV,15 kmpl,2004,7000,Ranchi,EasyGo Ranchi,950,2
