travelCode,User_ID,flightType,Flight_agency,Departure_date,Departure,Arrival,Flight Distance (km),Flight Duration (hh:mm),Departure Time,Arrival Time,flight_number
259,3,firstClass,GoAir,14/05/2020,Kullu-Manali,Ayodhya,747.05,00:49,10:38,11:27,G83941
263,3,premium,SpiceJet,06/11/2020,Kullu-Manali,Srinagar,329.11,00:21,09:12,09:33,SG2265
269,3,firstClass,SpiceJet,23/07/2020,Ayodhya,Udaipur,885.49,00:59,13:44,14:43,SG1569I
275,3,economic,Akasa Air,09/03/2020,Bhubaneswar,Patna,596.04,00:39,23:41,00:20,QP4951
279,3,premium,Air India,10/01/2020,Kolkata,Jamshedpur,225.0,00:14,11:14,11:28,AI4622K
283,3,premium,Akasa Air,29/10/2020,Bilaspur,Puducherry,1154.91,01:16,22:47,00:03,QP5210
287,3,firstClass,AirAsia India,26/11/2020,Jaipur,Nashik,796.17,00:53,05:42,06:35,I53692V
290,3,firstClass,SpiceJet,17/12/2020,Coimbatore,Srinagar,2575.77,02:51,11:01,13:52,SG4402I
291,3,economic,SpiceJet,24/12/2020,Dabolim,Kolkata,1722.57,01:54,19:46,21:40,SG513
295,3,firstClass,IndiGo,21/01/2021,Amritsar,Kota,2400.03,02:40,12:16,14:56,6E1685K
296,3,premium,IndiGo,28/01/2021,Delhi NCR,Nashik,1019.06,01:07,13:02,14:09,6E4096
299,3,economic,Air India,18/02/2021,Bhubaneswar,Dehradun,1364.32,01:30,21:46,23:16,AI5424
300,3,premium,Akasa Air,25/02/2021,Thiruvananthapuram,Guwahati,2512.6,02:47,03:46,06:33,QP465
303,3,firstClass,Akasa Air,18/03/2021,Dhubri,Patna,487.77,00:32,06:48,07:20,QP2991R
305,3,economic,Air India,04/01/2021,Tirupati,Gwalior,1406.44,01:33,08:33,10:06,AI1728
306,3,premium,IndiGo,04/08/2021,Shillong,Raipur,1151.18,01:16,04:35,05:51,6E3560
307,3,premium,IndiGo,15/04/2021,Puducherry,Pune,972.92,01:04,21:28,22:32,6E964
311,3,economic,Air India,13/05/2021,Kota,Varanasi,3182.35,03:32,11:53,15:25,AI865Q
315,3,premium,IndiGo,06/10/2021,Vijayawada,Imphal,1661.41,01:50,14:58,16:48,6E4502
322,3,firstClass,Air India,29/07/2021,Nashik,Khowai,1889.33,02:05,21:08,23:13,AI1008
325,3,firstClass,Air India,19/08/2021,Ranchi,Srinagar,1571.5,01:44,13:35,15:19,AI5970
337,3,economic,Air India,11/11/2021,Delhi NCR,Coimbatore,1963.17,02:10,22:07,00:17,AI240
338,3,economic,SpiceJet,18/11/2021,Surat,Mumbai,236.14,00:15,01:46,02:01,SG4941
347,3,economic,IndiGo,20/01/2022,Nashik,Gwalior,825.13,00:55,23:53,00:48,6E2025
350,3,premium,IndiGo,02/10/2022,Udaipur,Visakhapatnam,1247.43,01:23,05:44,07:07,6E4739
363,3,firstClass,SpiceJet,05/12/2022,Kolkata,Gwalior,1109.04,01:13,04:06,05:19,SG1506U
369,3,firstClass,SpiceJet,23/06/2022,Diu,Raipur,1107.17,01:13,21:24,22:37,SG5978
373,3,firstClass,AirAsia India,21/07/2022,Chandigarh,Navi Mumbai,1355.13,01:30,21:53,23:23,I53491
377,3,economic,IndiGo,18/08/2022,Prayagraj,Raigarh,424.95,00:28,19:34,20:02,6E1135
382,3,premium,Air India,22/09/2022,Raigarh,Kolkata,516.49,00:34,16:27,17:01,AI2560
383,3,economic,Akasa Air,29/09/2022,Bhopal,Imphal,1687.69,01:52,20:51,22:43,QP4522
385,3,economic,Akasa Air,13/10/2022,Kolkata,Vijayawada,1051.8,01:10,03:42,04:52,QP3364
387,3,premium,IndiGo,27/10/2022,Srinagar,Vijayawada,2039.78,02:15,03:35,05:50,6E5292
388,3,premium,Air India,11/03/2022,Raigarh,Surat,1095.38,01:13,05:17,06:30,AI1562
394,3,firstClass,Akasa Air,15/12/2022,Dabolim,Jamshedpur,1537.0,01:42,16:56,18:38,QP4732
397,3,economic,Air India,01/05/2023,Surat,Ludhiana,1121.64,01:14,12:46,14:00,AI5189
398,3,firstClass,GoAir,01/12/2023,Ahmedabad,Chandigarh,953.0,01:03,01:16,02:19,G83986
403,3,economic,SpiceJet,16/02/2023,Diu,Kolkata,1807.13,02:00,19:13,21:13,SG5989
404,3,firstClass,Air India,23/02/2023,Puducherry,Jaipur,1719.0,01:54,21:16,23:10,AI3054D
406,3,premium,IndiGo,03/09/2023,Vadodara,Udaipur,259.41,00:17,19:25,19:42,6E4750
408,3,premium,SpiceJet,23/03/2023,Puducherry,Diu,1357.3,01:30,18:51,20:21,SG1230
409,3,firstClass,IndiGo,30/03/2023,Bhubaneswar,Jamshedpur,283.7,00:18,15:43,16:01,6E4334
410,3,premium,SpiceJet,04/06/2023,Amritsar,Bengaluru,2092.35,02:19,11:36,13:55,SG773
412,3,firstClass,AirAsia India,20/04/2023,Gangtok,Udaipur,1519.36,01:41,13:39,15:20,I52345
415,3,premium,Akasa Air,05/11/2023,Jamshedpur,Hyderabad,1006.83,01:07,23:13,00:20,QP2391
417,3,premium,Akasa Air,25/05/2023,Shimla,Vadodara,1054.83,01:10,03:34,04:44,QP3370
418,3,premium,SpiceJet,06/01/2023,Delhi NCR,Bhubaneswar,1285.63,01:25,07:21,08:46,SG5951B
419,3,firstClass,IndiGo,06/08/2023,Bilaspur,Imphal,1239.81,01:22,02:17,03:39,6E2373
424,3,economic,Akasa Air,13/07/2023,Thiruvananthapuram,Ludhiana,2496.31,02:46,15:49,18:35,QP4423
426,4,economic,Akasa Air,10/03/2019,Hyderabad,Vijayawada,252.53,00:16,11:59,12:15,QP745
431,4,economic,SpiceJet,11/07/2019,Bhopal,Itanagar,1684.31,01:52,15:13,17:05,SG4893
432,4,economic,SpiceJet,14/11/2019,Ludhiana,Imphal,1900.56,02:06,19:33,21:39,SG4201Y
440,4,firstClass,Air India,01/09/2020,Varanasi,Bilaspur,370.27,00:24,00:33,00:57,AI5865
442,4,premium,Akasa Air,23/01/2020,Vijayawada,Indore,854.82,00:56,19:45,20:41,QP420
445,4,firstClass,Air India,13/02/2020,Vadodara,Hyderabad,774.45,00:51,23:41,00:32,AI4508
447,4,firstClass,Akasa Air,27/02/2020,Imphal,Kullu-Manali,1818.49,02:01,15:00,17:01,QP881
450,4,firstClass,Air India,19/03/2020,Hisar,Puducherry,6534.35,07:15,13:17,20:32,AI2159H
452,4,economic,Akasa Air,04/02/2020,Khowai,Srinagar,1972.25,02:11,02:11,04:22,QP1111D
456,4,premium,SpiceJet,30/04/2020,Navi Mumbai,Surat,240.86,00:16,01:54,02:10,SG3081
457,4,premium,SpiceJet,05/07/2020,Gangtok,Dabolim,2023.14,02:14,21:12,23:26,SG2945
468,4,economic,Akasa Air,23/07/2020,Jamshedpur,Patna,328.13,00:21,04:55,05:16,QP5034
473,4,firstClass,GoAir,27/08/2020,Jamshedpur,Vadodara,1333.43,01:28,00:00,01:28,G8458
481,4,firstClass,Akasa Air,22/10/2020,Itanagar,Mysuru,2415.34,02:41,05:19,08:00,QP714
486,4,premium,IndiGo,26/11/2020,Varanasi,Patna,215.59,00:14,07:42,07:56,6E4281P
490,4,premium,SpiceJet,24/12/2020,Delhi NCR,Khowai,1533.62,01:42,20:28,22:10,SG5201
491,4,premium,IndiGo,31/12/2020,Mopa,Patna,8546.48,09:29,08:49,18:18,6E3535
494,4,economic,IndiGo,21/01/2021,Vijayawada,Srinagar,2039.78,02:15,16:21,18:36,6E3451
498,4,firstClass,Akasa Air,18/02/2021,Tirupati,Kota,3223.07,03:34,23:20,02:54,QP1470
500,4,premium,Air India,03/04/2021,Vadodara,Tirupati,1165.62,01:17,21:03,22:20,AI2655
501,4,firstClass,GoAir,03/11/2021,Srinagar,Kota,2457.81,02:43,10:35,13:18,G81752
505,4,firstClass,Akasa Air,04/08/2021,Chandigarh,Mumbai,1355.09,01:30,23:31,01:01,QP3517
514,4,firstClass,SpiceJet,06/10/2021,Navi Mumbai,Puducherry,1075.21,01:11,08:12,09:23,SG3951
517,4,economic,Akasa Air,07/01/2021,Coimbatore,Hisar,6370.71,07:04,22:48,05:52,QP5720
529,4,firstClass,SpiceJet,23/09/2021,Shillong,Khowai,169.93,00:11,04:45,04:56,SG3896
532,4,economic,Air India,14/10/2021,Mopa,Coimbatore,7784.51,08:38,23:27,08:05,AI2024
537,4,premium,SpiceJet,18/11/2021,Ranchi,Amritsar,1379.48,01:31,19:37,21:08,SG720
541,4,firstClass,SpiceJet,16/12/2021,Vijayawada,Patna,1112.3,01:14,16:42,17:56,SG4206
543,4,firstClass,AirAsia India,30/12/2021,Guwahati,Mumbai,2088.33,02:19,16:37,18:56,I51825
545,4,firstClass,AirAsia India,13/01/2022,Jaipur,Puri,1293.96,01:26,02:45,04:11,I53655
548,4,premium,IndiGo,02/03/2022,Bilaspur,Dabolim,1149.76,01:16,04:16,05:32,6E212
555,4,premium,Air India,24/03/2022,Udaipur,Shillong,1831.77,02:02,11:57,13:59,AI5570
556,4,economic,IndiGo,31/03/2022,Jaipur,Ayodhya,636.62,00:42,03:41,04:23,6E3350
557,4,premium,Akasa Air,04/07/2022,Chennai,Kota,3333.78,03:42,15:41,19:23,QP4142N
559,4,economic,IndiGo,21/04/2022,Amritsar,Udaipur,790.66,00:52,21:40,22:32,6E671
562,4,economic,Akasa Air,05/12/2022,Dehradun,Hyderabad,1439.54,01:35,19:30,21:05,QP1329I
564,4,firstClass,Akasa Air,26/05/2022,Ranchi,Pune,1304.22,01:26,12:25,13:51,QP2599
565,4,firstClass,SpiceJet,06/02/2022,Srinagar,Imphal,2115.67,02:21,11:39,14:00,SG5954
574,4,premium,Air India,08/04/2022,Visakhapatnam,Hyderabad,504.2,00:33,06:24,06:57,AI2311
578,4,firstClass,Akasa Air,09/01/2022,Hisar,Pune,5572.52,06:11,21:36,03:47,QP3020
581,4,economic,Akasa Air,22/09/2022,Hisar,Itanagar,6657.11,07:23,16:57,00:20,QP4429
582,4,premium,SpiceJet,29/09/2022,Bilaspur,Mumbai,1021.32,01:08,21:02,22:10,SG1573
586,4,premium,Air India,27/10/2022,Guwahati,Jamshedpur,676.58,00:45,00:30,01:15,AI514
587,4,firstClass,Akasa Air,11/03/2022,Srinagar,Varanasi,1255.42,01:23,10:31,11:54,QP3692M
588,4,firstClass,GoAir,11/10/2022,Raigarh,Bhopal,633.57,00:42,07:35,08:17,G84866
591,4,firstClass,SpiceJet,12/01/2022,Indore,Tirupati,1078.47,01:11,17:36,18:47,SG5170
596,4,premium,Akasa Air,01/05/2023,Chennai,Vadodara,1268.27,01:24,03:04,04:28,QP3587K
598,4,economic,Akasa Air,19/01/2023,Navi Mumbai,Mysuru,843.67,00:56,03:05,04:01,QP3537
604,4,firstClass,AirAsia India,03/02/2023,Dhubri,Shillong,196.44,00:13,10:28,10:41,I5442
605,4,economic,Air India,03/09/2023,Dehradun,Gwalior,455.5,00:30,12:54,13:24,AI5804N
609,4,firstClass,IndiGo,04/06/2023,Dehradun,Vijayawada,1559.16,01:43,21:53,23:36,6E174
619,4,premium,Akasa Air,15/06/2023,Srinagar,Dehradun,516.82,00:34,03:49,04:23,QP3217
621,4,premium,Air India,29/06/2023,Navi Mumbai,Jamshedpur,1429.82,01:35,06:47,08:22,AI3465L
623,4,premium,Air India,13/07/2023,Bhubaneswar,Nashik,1257.36,01:23,16:21,17:44,AI3780
624,5,economic,Akasa Air,26/09/2019,Vijayawada,Nashik,821.23,00:54,12:37,13:31,QP668
638,5,economic,Akasa Air,01/02/2020,Dabolim,Visakhapatnam,1030.89,01:08,22:05,23:13,QP3400
643,5,firstClass,SpiceJet,02/06/2020,Jamshedpur,Mopa,8670.74,09:38,15:30,01:08,SG5699
644,5,economic,Akasa Air,13/02/2020,Shillong,Nashik,1953.36,02:10,21:42,23:52,QP1063
646,5,firstClass,Air India,27/02/2020,Jaipur,Bhopal,438.76,00:29,11:27,11:56,AI569
648,5,premium,Air India,03/12/2020,Ludhiana,Mysuru,2071.37,02:18,17:17,19:35,AI614
658,5,firstClass,Akasa Air,21/05/2020,Indore,Srinagar,1268.0,01:24,04:11,05:35,QP443X
668,5,firstClass,GoAir,30/07/2020,Khowai,Hisar,6682.72,07:25,06:14,13:39,G83269K
670,5,firstClass,AirAsia India,13/08/2020,Gwalior,Udaipur,483.77,00:32,09:29,10:01,I51691
676,5,firstClass,GoAir,24/09/2020,Kullu-Manali,Puducherry,2234.4,02:28,13:18,15:46,G81611
680,5,premium,IndiGo,22/10/2020,Mysuru,Guwahati,2209.3,02:27,20:55,23:22,6E3839
683,5,firstClass,AirAsia India,11/12/2020,Dhubri,Coimbatore,2157.8,02:23,10:40,13:03,I54050
687,5,firstClass,AirAsia India,12/10/2020,Kolkata,Kota,3771.28,04:11,05:14,09:25,I52699K
688,6,firstClass,SpiceJet,26/09/2019,Raipur,Visakhapatnam,427.94,00:28,18:01,18:29,SG551
690,6,firstClass,IndiGo,10/10/2019,Delhi NCR,Kolkata,1318.13,01:27,00:19,01:46,6E1628R
695,6,firstClass,GoAir,14/11/2019,Mopa,Raigarh,8390.44,09:19,11:01,20:20,G8315
696,6,firstClass,Air India,21/11/2019,Gangtok,Ranchi,553.36,00:36,09:49,10:25,AI3815C
698,6,firstClass,SpiceJet,12/05/2019,Thiruvananthapuram,Bhopal,1642.97,01:49,17:15,19:04,SG5107
699,6,firstClass,Air India,12/12/2019,Puducherry,Jamshedpur,1383.4,01:32,02:32,04:04,AI3637
701,6,firstClass,SpiceJet,26/12/2019,Jaipur,Tirupati,1524.63,01:41,11:28,13:09,SG4937D
707,6,premium,SpiceJet,02/06/2020,Surat,Hyderabad,726.71,00:48,17:59,18:47,SG4983O
711,6,premium,Air India,03/05/2020,Hyderabad,Mopa,7898.7,08:46,02:29,11:15,AI3865
712,6,economic,SpiceJet,03/12/2020,Ludhiana,Navi Mumbai,1350.92,01:30,03:34,05:04,SG4849
718,6,economic,SpiceJet,23/04/2020,Pune,Khowai,1937.46,02:09,18:17,20:26,SG4471
719,6,firstClass,Air India,30/04/2020,Kota,Visakhapatnam,3406.67,03:47,18:14,22:01,AI806
723,6,economic,Air India,28/05/2020,Visakhapatnam,Puri,363.0,00:24,22:49,23:13,AI5408
739,6,premium,Air India,17/09/2020,Dhubri,Guwahati,176.72,00:11,07:26,07:37,AI3798
745,6,premium,Air India,29/10/2020,Diu,Kullu-Manali,1384.59,01:32,06:04,07:36,AI3660
746,6,firstClass,AirAsia India,11/05/2020,Nashik,Khowai,1889.33,02:05,08:34,10:39,I55858
747,6,firstClass,Akasa Air,11/12/2020,Pune,Puducherry,972.92,01:04,10:31,11:35,QP3232
749,6,firstClass,SpiceJet,26/11/2020,Shillong,Jamshedpur,654.58,00:43,22:06,22:49,SG2847
753,6,firstClass,AirAsia India,24/12/2020,Dehradun,Bhopal,788.61,00:52,14:08,15:00,I52635
754,6,firstClass,AirAsia India,31/12/2020,Patna,Jaipur,943.53,01:02,13:39,14:41,I52399
755,6,economic,SpiceJet,01/07/2021,Pune,Srinagar,1733.43,01:55,10:05,12:00,SG2813
762,6,firstClass,AirAsia India,25/02/2021,Nashik,Jamshedpur,1320.05,01:28,00:18,01:46,I54487
767,6,premium,SpiceJet,04/01/2021,Udaipur,Gwalior,483.77,00:32,16:44,17:16,SG3287
778,7,premium,Air India,21/11/2019,Puri,Mysuru,1287.33,01:25,03:16,04:41,AI1672
787,7,firstClass,Air India,23/01/2020,Jamshedpur,Udaipur,1284.82,01:25,23:52,01:17,AI4351
788,7,firstClass,GoAir,30/01/2020,Kota,Ludhiana,2479.22,02:45,21:33,00:18,G84083
793,7,firstClass,SpiceJet,03/05/2020,Indore,Srinagar,1268.0,01:24,12:08,13:32,SG3176
795,7,economic,IndiGo,19/03/2020,Chennai,Amritsar,2133.57,02:22,13:16,15:38,6E4901G
803,7,premium,IndiGo,14/05/2020,Surat,Navi Mumbai,240.86,00:16,03:54,04:10,6E5402
805,7,premium,SpiceJet,28/05/2020,Shillong,Dehradun,1458.18,01:37,00:05,01:42,SG1361
806,7,economic,Air India,06/04/2020,Vadodara,Tirupati,1165.62,01:17,19:02,20:19,AI2655
808,7,firstClass,Air India,18/06/2020,Amritsar,Coimbatore,2302.53,02:33,23:13,01:46,AI1119
809,7,economic,Akasa Air,25/06/2020,Gwalior,Delhi NCR,291.11,00:19,07:44,08:03,QP1467
812,7,economic,Air India,16/07/2020,Bhubaneswar,Diu,1547.15,01:43,22:46,00:29,AI3970
815,7,premium,SpiceJet,08/06/2020,Jamshedpur,Mysuru,1544.27,01:42,15:25,17:07,SG5658
817,7,firstClass,AirAsia India,20/08/2020,Srinagar,Patna,1371.13,01:31,08:06,09:37,I5725G
819,7,premium,Air India,09/03/2020,Ludhiana,Guwahati,1636.98,01:49,07:41,09:30,AI749
823,8,premium,Akasa Air,10/03/2019,Shimla,Chennai,2028.53,02:15,20:49,23:04,QP2933
826,8,firstClass,AirAsia India,24/10/2019,Khowai,Imphal,251.02,00:16,07:41,07:57,I53299O
827,8,firstClass,Air India,31/10/2019,Navi Mumbai,Prayagraj,1153.96,01:16,13:06,14:22,AI4660
830,8,premium,IndiGo,21/11/2019,Gangtok,Hyderabad,1519.3,01:41,04:09,05:50,6E4554
834,8,firstClass,SpiceJet,19/12/2019,Kota,Dabolim,2602.42,02:53,10:47,13:40,SG2865
836,8,premium,IndiGo,01/02/2020,Diu,Patna,1544.25,01:42,06:50,08:32,6E3806O
838,8,premium,Akasa Air,16/01/2020,Hyderabad,Raigarh,720.66,00:48,10:57,11:45,QP749
840,8,firstClass,Akasa Air,30/01/2020,Gwalior,Shillong,1372.67,01:31,13:47,15:18,QP3446
852,8,firstClass,GoAir,23/04/2020,Pune,Vadodara,425.67,00:28,16:09,16:37,G82673
857,8,premium,SpiceJet,28/05/2020,Vijayawada,Mopa,8136.79,09:02,13:27,22:29,SG2210
861,8,firstClass,GoAir,25/06/2020,Dehradun,Srinagar,516.82,00:34,10:29,11:03,G83696
862,8,firstClass,Air India,07/02/2020,Ranchi,Jaipur,1037.33,01:09,07:38,08:47,AI5261
864,8,firstClass,Air India,16/07/2020,Bilaspur,Dabolim,1149.76,01:16,05:33,06:49,AI1144
865,8,economic,Air India,23/07/2020,Diu,Surat,199.24,00:13,14:19,14:32,AI2566
869,8,economic,SpiceJet,20/08/2020,Shimla,Guwahati,1522.68,01:41,07:02,08:43,SG4058
871,8,premium,Akasa Air,09/03/2020,Dabolim,Pune,349.02,00:23,15:54,16:17,QP5847
892,8,premium,IndiGo,28/01/2021,Vadodara,Varanasi,1051.78,01:10,12:15,13:25,6E1538P
894,8,firstClass,Akasa Air,02/11/2021,Jamshedpur,Vadodara,1333.43,01:28,19:53,21:21,QP5486
900,8,firstClass,IndiGo,25/03/2021,Bhubaneswar,Udaipur,1334.18,01:28,12:04,13:32,6E5591
904,8,premium,IndiGo,22/04/2021,Raigarh,Guwahati,972.28,01:04,22:09,23:13,6E5490
907,8,premium,Air India,13/05/2021,Ahmedabad,Puri,1415.93,01:34,00:32,02:06,AI2981
911,8,premium,Air India,06/10/2021,Dhubri,Ahmedabad,1789.82,01:59,12:21,14:20,AI4919
913,8,firstClass,AirAsia India,24/06/2021,Pune,Bhubaneswar,1271.07,01:24,04:18,05:42,I52749Y
914,8,firstClass,IndiGo,07/01/2021,Shimla,Mopa,7765.05,08:37,21:35,06:12,6E2941
