travelCode,code,pickupLocation,dropoffLocation,carType,rentalAgency,pickupDateTime,dropoffDateTime,rentalDuration,price,totalDistance,fuelPolicy,bookingStatus
39658,851,East Johnland,Iantown,Luxury,Avis,2025-01-09 17:48:48,2025-01-14 17:48:48,5,281.8,442,Prepaid,Cancelled
57886,916,Huntstad,Reynoldsshire,Hatchback,Hertz,2025-01-04 05:15:22,2025-01-08 05:15:22,4,190.2,163,Full-to-Full,Confirmed
98269,47,Port Nancy,North Ryanland,Luxury,Sixt,2025-01-21 00:11:46,2025-01-25 00:11:46,4,621.75,103,Full-to-Full,Confirmed
47382,1123,Port Randall,Port Tamaraville,Sedan,Enterprise,2025-01-01 23:13:39,2025-01-02 23:13:39,1,104.89,449,Full-to-Full,Cancelled
91126,281,Lake Martinmouth,West Christine,Luxury,Enterprise,2025-01-02 10:10:01,2025-01-05 10:10:01,3,101.65,65,Prepaid,Confirmed
37933,575,Rhondashire,East Angelaport,Sedan,Budget,2025-01-23 02:21:05,2025-01-28 02:21:05,5,686.31,272,Prepaid,Pending
39753,521,Port Davidtown,Johnhaven,Luxury,Sixt,2025-01-17 16:05:47,2025-01-21 16:05:47,4,565.29,354,Full-to-Full,Confirmed
85356,707,Kingport,Westshire,SUV,Enterprise,2025-01-05 20:31:43,2025-01-08 20:31:43,3,307.72,359,Prepaid,Cancelled
61042,1234,Westhaven,Laurenview,SUV,Sixt,2025-01-24 11:04:36,2025-01-26 11:04:36,2,274.15,203,Partial,Confirmed
126307,19,Porterton,Jordanton,Sedan,Enterprise,2025-01-28 04:44:10,2025-02-01 04:44:10,4,773.44,200,Full-to-Full,Cancelled
1251,465,East Sara,Wilsonview,SUV,Sixt,2025-01-15 13:24:45,2025-01-18 13:24:45,3,176.47,406,Partial,Cancelled
46347,1214,North Todd,Gutierrezton,SUV,Avis,2025-01-26 13:56:38,2025-01-29 13:56:38,3,515.08,249,Prepaid,Cancelled
107983,365,North Edwardborough,North Jenniferburgh,Luxury,Sixt,2025-01-12 00:36:16,2025-01-15 00:36:16,3,400.94,144,Full-to-Full,Cancelled
78422,507,Karaberg,New Davidfurt,Luxury,Sixt,2025-01-29 22:31:24,2025-02-03 22:31:24,5,276.04,334,Partial,Cancelled
68916,569,Port Amychester,Lake Martinstad,Sedan,Hertz,2025-01-18 16:53:04,2025-01-23 16:53:04,5,925.36,157,Partial,Confirmed
75612,1213,Christopherfurt,Greertown,Sedan,Avis,2025-01-17 16:29:28,2025-01-19 16:29:28,2,329.1,500,Prepaid,Confirmed
45770,974,Xavierhaven,East Karen,Luxury,Sixt,2025-01-11 08:59:33,2025-01-13 08:59:33,2,357.21,458,Prepaid,Cancelled
123563,123,Nathanton,Port Brendaside,Hatchback,Avis,2025-01-23 23:34:09,2025-01-27 23:34:09,4,505.92,409,Full-to-Full,Pending
74267,480,Avilaburgh,Charlottebury,Luxury,Sixt,2025-01-01 10:22:21,2025-01-04 10:22:21,3,583.25,280,Partial,Pending
79563,1136,New Coreyshire,Julieside,Hatchback,Hertz,2025-01-17 13:47:11,2025-01-21 13:47:11,4,738.27,486,Full-to-Full,Pending
24081,1065,Port Matthewmouth,Wilsonport,SUV,Enterprise,2025-01-26 18:01:27,2025-01-31 18:01:27,5,925.32,178,Prepaid,Cancelled
58805,50,Taylorhaven,Port Tammyton,SUV,Sixt,2025-01-01 14:28:38,2025-01-05 14:28:38,4,499.97,148,Partial,Pending
110605,998,North Deborahberg,East Sarah,Hatchback,Hertz,2025-01-11 16:04:13,2025-01-16 16:04:13,5,646.58,435,Prepaid,Confirmed
35548,953,New Karibury,South Gloriatown,Sedan,Enterprise,2025-01-16 12:12:43,2025-01-17 12:12:43,1,138.45,99,Prepaid,Pending
97461,68,Davidmouth,Lake Anthonymouth,Hatchback,Sixt,2025-01-19 20:41:24,2025-01-20 20:41:24,1,121.25,413,Full-to-Full,Pending
15101,654,Hensonberg,Lake Michael,SUV,Hertz,2025-01-14 05:30:07,2025-01-17 05:30:07,3,136.3,417,Partial,Confirmed
107483,1061,North Thomas,Gutierrezburgh,Luxury,Enterprise,2025-01-24 10:09:07,2025-01-28 10:09:07,4,762.53,56,Partial,Confirmed
68875,123,North Kyle,North Jenniferport,Sedan,Enterprise,2025-01-01 05:54:55,2025-01-02 05:54:55,1,120.29,405,Prepaid,Pending
79790,337,Danielside,Barbermouth,SUV,Sixt,2025-01-10 15:16:57,2025-01-14 15:16:57,4,456.28,279,Prepaid,Pending
22452,458,Danielton,Lake Jeffrey,Luxury,Hertz,2025-01-17 09:52:33,2025-01-20 09:52:33,3,278.17,397,Prepaid,Confirmed
80965,522,Thomasport,New Micheleshire,Hatchback,Budget,2025-01-16 08:49:38,2025-01-21 08:49:38,5,418.11,72,Partial,Pending
117138,162,Coleborough,New Davidhaven,Hatchback,Budget,2025-01-03 01:01:18,2025-01-04 01:01:18,1,70.82,139,Prepaid,Cancelled
28774,1053,Muellerburgh,Keithchester,Luxury,Avis,2025-01-23 03:07:03,2025-01-28 03:07:03,5,655.5,499,Prepaid,Cancelled
7382,848,South Brian,Jamesmouth,Hatchback,Budget,2025-01-08 06:18:44,2025-01-12 06:18:44,4,614.03,315,Partial,Confirmed
127320,789,Port Tracey,Kingport,Luxury,Budget,2025-01-28 22:22:12,2025-01-29 22:22:12,1,61.5,115,Partial,Pending
35300,84,Garzachester,Colemanville,Sedan,Avis,2025-01-11 11:41:44,2025-01-16 11:41:44,5,716.45,242,Full-to-Full,Pending
81376,481,Josephburgh,New Casey,Hatchback,Hertz,2025-01-17 08:14:31,2025-01-18 08:14:31,1,32.05,119,Partial,Cancelled
39693,1326,New Jeremyberg,Lake Thomasview,Hatchback,Budget,2025-01-09 06:04:39,2025-01-11 06:04:39,2,69.45,155,Full-to-Full,Confirmed
44434,474,South Blakehaven,Port Melanie,Sedan,Avis,2025-01-14 00:53:11,2025-01-17 00:53:11,3,100.75,429,Partial,Cancelled
78819,398,Lake Melissa,Burchborough,Sedan,Budget,2025-01-23 22:05:31,2025-01-26 22:05:31,3,230.56,292,Partial,Confirmed
25330,878,Wilsonview,Jamesfort,SUV,Enterprise,2025-01-25 08:47:39,2025-01-27 08:47:39,2,186.19,79,Full-to-Full,Confirmed
80489,1331,New Stevenbury,Patriciaborough,Sedan,Enterprise,2025-01-21 14:36:24,2025-01-24 14:36:24,3,334.26,211,Partial,Confirmed
107172,172,North Devin,Wrightton,Luxury,Sixt,2025-01-06 10:02:22,2025-01-08 10:02:22,2,307.26,79,Partial,Cancelled
13040,1229,Kristinashire,Port Javierville,Hatchback,Hertz,2025-01-09 13:32:05,2025-01-12 13:32:05,3,520.73,270,Full-to-Full,Cancelled
65675,1234,Lake Reneeview,Lake Heather,Sedan,Budget,2025-01-13 20:53:58,2025-01-17 20:53:58,4,628.12,208,Prepaid,Cancelled
91637,479,Lake Jeffreyburgh,Lewismouth,Sedan,Budget,2025-01-28 16:38:33,2025-01-29 16:38:33,1,69.65,399,Partial,Cancelled
21708,551,Mooreville,North Markport,Luxury,Avis,2025-01-17 21:32:20,2025-01-21 21:32:20,4,272.64,479,Partial,Confirmed
69869,1083,Raymondside,West Michelle,Luxury,Enterprise,2025-01-06 09:30:05,2025-01-10 09:30:05,4,731.61,113,Partial,Cancelled
30427,850,Smithborough,Moranfurt,Luxury,Budget,2025-01-15 18:30:03,2025-01-17 18:30:03,2,244.98,179,Partial,Cancelled
52987,614,New Dana,Gabriellemouth,Luxury,Budget,2025-01-07 16:46:10,2025-01-08 16:46:10,1,96.56,94,Partial,Pending
110807,1123,New Annstad,Port Kaitlyn,Hatchback,Sixt,2025-01-25 06:05:54,2025-01-28 06:05:54,3,315.57,476,Prepaid,Pending
52845,326,South Michelle,Garciaton,Sedan,Enterprise,2025-01-19 19:13:01,2025-01-22 19:13:01,3,515.85,170,Prepaid,Confirmed
60008,1001,Teresaville,North Davidview,SUV,Budget,2025-01-20 12:42:37,2025-01-21 12:42:37,1,133.55,211,Prepaid,Confirmed
54536,1325,Marthachester,East Rebeccamouth,Sedan,Budget,2025-01-24 14:31:29,2025-01-27 14:31:29,3,237.71,370,Partial,Pending
96746,108,East Peterberg,Danielsbury,SUV,Enterprise,2025-01-13 22:23:55,2025-01-18 22:23:55,5,919.15,106,Prepaid,Confirmed
16746,733,South Alejandroport,Lake Alexander,Luxury,Hertz,2025-01-04 17:19:07,2025-01-07 17:19:07,3,241.47,273,Prepaid,Confirmed
35814,438,East Melanie,Donaldberg,Luxury,Sixt,2025-01-17 00:06:43,2025-01-20 00:06:43,3,398.52,394,Full-to-Full,Cancelled
49001,700,Lake Jonathanville,West Jonathan,SUV,Sixt,2025-01-14 05:38:46,2025-01-19 05:38:46,5,955.51,410,Prepaid,Pending
83194,1180,Avilafurt,Marvinport,Luxury,Budget,2025-01-19 17:12:37,2025-01-24 17:12:37,5,961.78,498,Full-to-Full,Pending
79988,768,North Williamville,North Melanie,Sedan,Avis,2025-01-04 16:37:45,2025-01-06 16:37:45,2,250.59,170,Full-to-Full,Cancelled
56555,728,Port Ashley,Erikaville,Sedan,Avis,2025-01-06 05:28:26,2025-01-09 05:28:26,3,517.66,424,Prepaid,Pending
117458,1264,East Lisaborough,Mariaburgh,Hatchback,Avis,2025-01-21 14:02:32,2025-01-22 14:02:32,1,142.5,462,Partial,Cancelled
122943,398,South Christopherchester,East Elizabethview,Hatchback,Enterprise,2025-01-04 08:22:54,2025-01-05 08:22:54,1,123.96,88,Full-to-Full,Cancelled
44864,888,Codyshire,South Stephanieton,Hatchback,Budget,2025-01-14 00:26:27,2025-01-17 00:26:27,3,574.87,445,Prepaid,Confirmed
25691,843,East Joshuaborough,East Christopherport,SUV,Hertz,2025-01-02 12:42:28,2025-01-07 12:42:28,5,949.74,375,Full-to-Full,Confirmed
92034,1020,South James,West Carrie,Sedan,Avis,2025-01-10 09:49:25,2025-01-14 09:49:25,4,760.33,343,Prepaid,Confirmed
45163,330,Port Michael,North Scottbury,Sedan,Enterprise,2025-01-30 12:23:30,2025-02-02 12:23:30,3,300.81,277,Partial,Confirmed
1908,865,West Margaret,Johnsonshire,Sedan,Avis,2025-01-13 07:10:51,2025-01-17 07:10:51,4,753.32,463,Full-to-Full,Cancelled
123692,655,Martinezberg,South Samantha,Sedan,Hertz,2025-01-28 10:44:32,2025-02-02 10:44:32,5,708.31,132,Partial,Cancelled
56679,1104,East Carolinemouth,Flynnborough,Hatchback,Budget,2025-01-02 11:42:07,2025-01-06 11:42:07,4,659.15,317,Full-to-Full,Confirmed
463,269,Lewisborough,Charlesberg,Luxury,Enterprise,2025-01-28 12:09:24,2025-02-01 12:09:24,4,126.67,492,Partial,Confirmed
548,644,Kevinbury,Houseport,Hatchback,Budget,2025-01-07 04:50:17,2025-01-12 04:50:17,5,414.09,349,Full-to-Full,Pending
134679,58,Marystad,New Kaylaview,Luxury,Hertz,2025-01-07 05:36:33,2025-01-12 05:36:33,5,171.28,455,Prepaid,Cancelled
47195,431,Ramirezshire,Nolanshire,Luxury,Budget,2025-01-22 01:15:01,2025-01-23 01:15:01,1,57.78,186,Partial,Pending
7036,614,Donaldburgh,Port Emily,Hatchback,Avis,2025-01-08 16:57:45,2025-01-13 16:57:45,5,867.56,384,Prepaid,Confirmed
60405,1000,Nicoleville,New Traceyport,Hatchback,Enterprise,2025-01-22 19:34:11,2025-01-27 19:34:11,5,434.42,413,Partial,Cancelled
69814,849,Gabrielside,Port Ronaldville,Sedan,Avis,2025-01-06 03:20:12,2025-01-07 03:20:12,1,88.82,292,Partial,Pending
37915,1194,Michellemouth,Audreyport,SUV,Avis,2025-01-04 19:14:43,2025-01-05 19:14:43,1,123.51,456,Partial,Confirmed
35252,245,West Vanessa,East Williamfort,Hatchback,Budget,2025-01-05 20:11:50,2025-01-07 20:11:50,2,91.49,462,Full-to-Full,Confirmed
73582,1143,Travismouth,Ashleyborough,SUV,Budget,2025-01-16 20:58:38,2025-01-21 20:58:38,5,857.07,241,Full-to-Full,Confirmed
105211,969,West Richardburgh,East Jenniferside,Hatchback,Budget,2025-01-03 21:20:04,2025-01-06 21:20:04,3,493.64,160,Prepaid,Confirmed
85670,350,Richardburgh,Brendaside,Sedan,Hertz,2025-01-11 07:17:26,2025-01-16 07:17:26,5,628.94,236,Partial,Confirmed
109902,532,Austinland,Benjaminport,Hatchback,Hertz,2025-01-29 10:49:50,2025-02-02 10:49:50,4,754.3,119,Partial,Cancelled
90043,168,Lake Daniel,Port Oscarside,Sedan,Hertz,2025-01-05 07:46:32,2025-01-09 07:46:32,4,677.91,293,Full-to-Full,Confirmed
24728,476,North Markfurt,North Philip,SUV,Avis,2025-01-27 05:47:28,2025-01-29 05:47:28,2,243.96,152,Full-to-Full,Pending
90845,510,North Lisa,East Jimmy,Sedan,Sixt,2025-01-10 07:51:46,2025-01-11 07:51:46,1,142.77,196,Prepaid,Confirmed
34631,180,Anthonyside,Gardnerview,Hatchback,Hertz,2025-01-10 04:35:12,2025-01-15 04:35:12,5,690.48,256,Prepaid,Confirmed
65018,132,South Jenniferfort,North Whitneyborough,Luxury,Sixt,2025-01-26 04:33:03,2025-01-31 04:33:03,5,723.62,384,Partial,Confirmed
64099,698,Beckymouth,Cruzhaven,Hatchback,Enterprise,2025-01-03 15:57:32,2025-01-06 15:57:32,3,293.59,142,Full-to-Full,Pending
25514,307,Oliviafort,North Rubenland,Luxury,Enterprise,2025-01-28 15:10:11,2025-01-30 15:10:11,2,173.86,215,Partial,Pending
12884,988,Port Jennifer,Port Tracy,SUV,Sixt,2025-01-06 07:04:39,2025-01-10 07:04:39,4,320.9,493,Full-to-Full,Pending
29238,964,Jenkinston,Troyhaven,Sedan,Enterprise,2025-01-04 08:09:27,2025-01-08 08:09:27,4,794.2,309,Prepaid,Cancelled
110630,565,Rogersville,New Kathryn,Luxury,Budget,2025-01-03 05:59:52,2025-01-04 05:59:52,1,86.75,305,Prepaid,Pending
32898,253,Lake Tonya,Johnhaven,Sedan,Budget,2025-01-04 02:01:08,2025-01-06 02:01:08,2,125.05,398,Full-to-Full,Confirmed
93940,127,Timothyshire,Mannport,Hatchback,Avis,2025-01-19 14:51:22,2025-01-24 14:51:22,5,200.65,196,Prepaid,Cancelled
79371,1216,Robinsontown,South Phillip,SUV,Hertz,2025-01-07 07:55:43,2025-01-09 07:55:43,2,197.46,496,Full-to-Full,Pending
51549,801,Vargasland,Port Christophertown,Sedan,Avis,2025-01-09 15:50:44,2025-01-13 15:50:44,4,632.73,225,Prepaid,Cancelled
113842,455,West Tammy,Morrowmouth,Sedan,Sixt,2025-01-23 02:16:41,2025-01-26 02:16:41,3,333.15,289,Partial,Pending
50473,433,North Gregoryborough,Pettyberg,Hatchback,Avis,2025-01-23 12:42:24,2025-01-24 12:42:24,1,161.02,291,Full-to-Full,Confirmed
80887,66,Bruceshire,East Shannonberg,Luxury,Sixt,2025-01-15 05:50:36,2025-01-16 05:50:36,1,197.59,106,Full-to-Full,Pending
5353,1178,East David,Jameston,Sedan,Avis,2025-01-26 03:05:04,2025-01-29 03:05:04,3,583.03,421,Full-to-Full,Pending
93910,541,Jacquelineburgh,West Cindymouth,Hatchback,Sixt,2025-01-11 20:37:22,2025-01-15 20:37:22,4,413.37,267,Full-to-Full,Confirmed
71041,628,Simmonston,Laurieborough,Hatchback,Budget,2025-01-02 13:15:14,2025-01-06 13:15:14,4,140.35,325,Prepaid,Pending
11714,829,Anitafort,Port Laurashire,Hatchback,Hertz,2025-01-10 23:12:57,2025-01-12 23:12:57,2,271.74,423,Partial,Cancelled
43477,902,North Samantha,Garciabury,Sedan,Avis,2025-01-06 01:49:14,2025-01-10 01:49:14,4,707.44,381,Partial,Cancelled
16368,357,Weaverbury,Davisbury,Luxury,Avis,2025-01-22 02:29:18,2025-01-24 02:29:18,2,290.21,397,Prepaid,Cancelled
79241,1299,Port James,Port Kimberlyberg,SUV,Sixt,2025-01-24 16:14:46,2025-01-29 16:14:46,5,606.24,147,Full-to-Full,Confirmed
26252,874,West Donald,New Emmahaven,Hatchback,Budget,2025-01-17 08:13:56,2025-01-18 08:13:56,1,99.47,418,Full-to-Full,Confirmed
135341,1298,South Danielfurt,Lake Michelletown,Hatchback,Sixt,2025-01-27 20:30:45,2025-01-29 20:30:45,2,197.75,65,Partial,Cancelled
71767,937,South Ronaldbury,Hawkinstown,Hatchback,Avis,2025-01-05 03:23:59,2025-01-08 03:23:59,3,177.45,469,Partial,Confirmed
127891,937,South Kevinstad,Lake Marcusmouth,Luxury,Hertz,2025-01-20 06:29:51,2025-01-21 06:29:51,1,87.65,183,Partial,Cancelled
12488,1327,North Kathleen,West Beckyhaven,Sedan,Budget,2025-01-15 08:30:41,2025-01-16 08:30:41,1,36.45,61,Prepaid,Confirmed
8896,562,Moranland,North Christopherland,Sedan,Sixt,2025-01-12 05:37:24,2025-01-16 05:37:24,4,514.18,144,Prepaid,Confirmed
43621,976,East Megan,Port Jorge,Hatchback,Enterprise,2025-01-18 00:34:46,2025-01-22 00:34:46,4,219.26,89,Prepaid,Cancelled
3249,438,Kevinfurt,Port Jaredchester,Sedan,Enterprise,2025-01-16 22:22:08,2025-01-19 22:22:08,3,330.28,292,Prepaid,Cancelled
72676,84,Matthewstad,Michaelburgh,Hatchback,Avis,2025-01-23 21:00:53,2025-01-25 21:00:53,2,139.62,432,Full-to-Full,Cancelled
74134,753,Calvinton,Kellyville,Luxury,Hertz,2025-01-11 16:57:17,2025-01-14 16:57:17,3,224.03,124,Prepaid,Pending
114361,1309,Coleburgh,West Dominique,Hatchback,Sixt,2025-01-29 18:20:17,2025-02-02 18:20:17,4,153.8,133,Full-to-Full,Confirmed
43716,115,New Alexis,North Megan,SUV,Avis,2025-01-11 01:49:04,2025-01-15 01:49:04,4,770.8,169,Partial,Pending
131325,1100,Kochport,South Andrewtown,Sedan,Avis,2025-01-14 13:21:25,2025-01-19 13:21:25,5,891.93,158,Full-to-Full,Confirmed
84349,40,Shawshire,East David,Sedan,Budget,2025-01-14 20:06:21,2025-01-16 20:06:21,2,258.06,306,Partial,Pending
72009,1143,Port Loretta,West Masonside,Hatchback,Sixt,2025-01-02 13:58:27,2025-01-06 13:58:27,4,565.01,252,Full-to-Full,Cancelled
121606,1015,Taylorberg,West Patrick,Sedan,Hertz,2025-01-19 20:19:56,2025-01-21 20:19:56,2,159.61,61,Full-to-Full,Confirmed
105293,104,Robertfurt,West Jennifer,Hatchback,Enterprise,2025-01-03 21:59:02,2025-01-08 21:59:02,5,934.28,50,Partial,Pending
29373,266,Osbornestad,Samanthachester,SUV,Sixt,2025-01-24 13:01:50,2025-01-29 13:01:50,5,870.49,122,Full-to-Full,Confirmed
59588,593,Port Jeffreyton,Bullockstad,Hatchback,Enterprise,2025-01-20 09:17:37,2025-01-25 09:17:37,5,176.02,54,Partial,Cancelled
66914,1088,East Daniel,Port Brandi,SUV,Avis,2025-01-25 01:31:22,2025-01-30 01:31:22,5,546.06,142,Partial,Pending
116595,250,Travisview,Mitchellport,Hatchback,Sixt,2025-01-21 14:56:02,2025-01-22 14:56:02,1,107.09,435,Partial,Confirmed
35952,1204,Guerramouth,Garciaburgh,Sedan,Enterprise,2025-01-15 05:10:51,2025-01-19 05:10:51,4,539.28,404,Full-to-Full,Cancelled
80406,123,Lake Matthew,North Anthonyland,Hatchback,Avis,2025-01-09 23:07:06,2025-01-14 23:07:06,5,706.3,197,Prepaid,Cancelled
124490,400,Samanthamouth,Josebury,Hatchback,Enterprise,2025-01-18 16:41:26,2025-01-21 16:41:26,3,272.73,462,Prepaid,Pending
43631,1275,Smithside,Johnsonburgh,Hatchback,Enterprise,2025-01-01 00:49:58,2025-01-05 00:49:58,4,460.29,320,Partial,Pending
44837,1299,Port James,New Nicholas,SUV,Sixt,2025-01-13 03:30:56,2025-01-16 03:30:56,3,92.77,290,Full-to-Full,Cancelled
14203,270,South Lorichester,Emilybury,Hatchback,Enterprise,2025-01-20 15:42:35,2025-01-25 15:42:35,5,832.52,208,Prepaid,Confirmed
66060,1191,Darrenshire,South Janet,Hatchback,Enterprise,2025-01-02 19:28:14,2025-01-07 19:28:14,5,611.57,403,Full-to-Full,Pending
75115,145,Port Richardmouth,East Bettyfurt,Hatchback,Enterprise,2025-01-12 16:01:51,2025-01-14 16:01:51,2,369.07,59,Partial,Confirmed
95592,971,Rodriguezfurt,Brewermouth,Sedan,Sixt,2025-01-03 22:56:36,2025-01-04 22:56:36,1,171.63,50,Prepaid,Confirmed
24094,112,Lake Michaelton,Emilyborough,Luxury,Enterprise,2025-01-20 00:21:29,2025-01-24 00:21:29,4,280.17,138,Full-to-Full,Cancelled
53898,690,Anthonyfurt,Michelleburgh,Hatchback,Avis,2025-01-06 16:05:02,2025-01-07 16:05:02,1,86.75,341,Prepaid,Cancelled
91285,551,Teresaton,Port Derekland,Sedan,Avis,2025-01-17 10:53:02,2025-01-18 10:53:02,1,132.16,139,Partial,Cancelled
107366,1056,West Scottburgh,East Jordan,Luxury,Budget,2025-01-18 02:36:00,2025-01-23 02:36:00,5,595.38,154,Partial,Pending
29622,1306,West Williamchester,Whitakerhaven,Sedan,Enterprise,2025-01-13 11:50:56,2025-01-16 11:50:56,3,235.17,112,Full-to-Full,Confirmed
21203,11,Marissafurt,Cordovastad,Luxury,Budget,2025-01-03 07:39:30,2025-01-07 07:39:30,4,357.47,405,Partial,Pending
56361,924,Vincentmouth,Paulmouth,Sedan,Budget,2025-01-03 05:36:15,2025-01-07 05:36:15,4,506.49,228,Full-to-Full,Pending
106175,90,Lake Jacob,West Elizabeth,SUV,Sixt,2025-01-23 05:43:09,2025-01-28 05:43:09,5,780.84,291,Prepaid,Cancelled
